UTME,UTMN,2001Flag,2012Flag
512887.056,4495356.601,248,164
512871.216,4495283.057,250,165
512849.099,4495186.744,252,166
512828.295,4495088.211,254,167
512805.735,4494983.739,256,168
512786.051,4494891.673,258,169
512764.214,4494786.387,260,170
512676.414,4494744.72,262,171
512694.733,4494841.835,263,172
512716.416,4494939.431,264,173
512731.069,4495012.582,265,174
512752.108,4495109.785,266,175
512774.388,4495212.502,267,176
512794.161,4495305.319,268,177
512808.573,4495372.405,269,178
512827.56,4495461.399,270,179
512786.365,4495497.296,271,180
512778.303,4495454.359,272,181
512765.265,4495382.898,273,182
512753.474,4495316.059,274,183
512730.981,4495199.94,275,184
512721.27,4495152.308,276,185
512697.889,4495037.614,277,186
512674.168,4494919.815,278,187
512654.404,4494834.846,279,188
512642.136,4494766.474,280,189
512633.876,4494810.638,282,190
512634.22,4494910.065,284,191
512634.621,4495008.166,286,192
512637.49,4495098.32,288,193
512636.851,4495165.787,290,194
512636.702,4495262.674,292,195
512635.575,4495356.68,294,196
512635.82,4495446.008,296,197
512635.866,4495505.677,298,198
512684.896,4495463.254,300,199
512685.35,4495383.476,302,200
512684.11,4495296.424,304,201
512685.197,4495240.479,306,202
