date,plot,species,weight,n_seeds,seed_mass_g,seed_mass_mg
2023-07-06,168,deso,0.0026,31,0.00008387096774,0.08387096774
2023-07-06,167,deso,0.004,33,0.0001212121212,0.1212121212
2023-07-06,162,brte,0.0734,29,0.002531034483,2.531034483
2023-07-06,140,deso,0.0046,32,0.00014375,0.14375
2023-07-06,130,deso,0.006,45,0.0001333333333,0.1333333333
2023-07-06,159,brte,0.0382,18,0.002122222222,2.122222222
2023-07-06,159,deso,0.0034,34,0.0001,0.1
2023-07-06,167,brte,0.0585,24,0.0024375,2.4375
2023-07-06,158,deso,0.0044,34,0.0001294117647,0.1294117647
2023-07-06,174,navi,0.0765,38,0.002013157895,2.013157895
2023-07-06,195,brte,0.0765,29,0.002637931034,2.637931034
2023-07-06,160,deso,0.0054,47,0.000114893617,0.114893617
2023-07-06,140,brte,0.0595,27,0.002203703704,2.203703704
2023-07-06,162,deso,0.0044,35,0.0001257142857,0.1257142857
2023-07-06,143,deso,0.0054,48,0.0001125,0.1125
2023-07-06,181,brte,0.0366,20,0.00183,1.83
2023-07-28,81,navi,0.0333,18,0.00185,1.85
2023-07-28,48,brte,0.0564,25,0.002256,2.256
2023-07-28,69,brte,0.0522,23,0.002269565217,2.269565217
2023-06-23,110,brte,0.0771,30,0.00257,2.57
2023-07-28,81,brja,0.0411,15,0.00274,2.74
2023-06-23,110,deso,0.0045,37,0.0001216216216,0.1216216216
2023-07-28,93,brja,0.044,20,0.0022,2.2
2023-07-28,200,brte,0.0521,23,0.002265217391,2.265217391
2023-07-28,69,navi,0.0349,30,0.001163333333,1.163333333
2023-07-06,180,brte,0.0505,20,0.002525,2.525
2023-07-06,197,deso,0.0043,29,0.0001482758621,0.1482758621
2023-07-06,180,navi,0.0426,20,0.00213,2.13
2023-07-28,188,brte,0.0408,20,0.00204,2.04
2023-07-28,201,brte,0.0422,20,0.00211,2.11
2023-07-28,183,brte,0.0398,20,0.00199,1.99
2023-07-28,183,navi,0.0238,20,0.00119,1.19
2023-07-28,93,brte,0.0372,20,0.00186,1.86
2023-07-28,50,brte,0.0366,19,0.001926315789,1.926315789
2023-07-06,181,deso,0.0043,36,0.0001194444444,0.1194444444
2023-07-06,197,brte,0.0538,19,0.002831578947,2.831578947
2023-07-06,183,navi,0.0526,37,0.001421621622,1.421621622
2023-07-06,147,brte,0.0433,20,0.002165,2.165
2023-07-06,125,deso,0.003,30,0.0001,0.1
2023-07-06,181,navi,0.0742,23,0.003226086957,3.226086957
2023-07-06,147,navi,0.0343,20,0.001715,1.715
2023-07-06,183,brte,0.0541,26,0.002080769231,2.080769231
2023-07-06,166,deso,0.0044,32,0.0001375,0.1375
2023-07-06,127,brte,0.0437,20,0.002185,2.185
2023-07-06,127,deso,0.0044,38,0.0001157894737,0.1157894737
2023-07-06,125,brte,0.0696,28,0.002485714286,2.485714286
2023-07-06,143,brte,0.0482,20,0.00241,2.41
2023-07-06,177,brte,0.0397,20,0.001985,1.985
2023-07-06,128,deso,0.0054,45,0.00012,0.12
2023-07-06,193,brte,0.0463,20,0.002315,2.315
2023-07-06,165,deso,0.0043,36,0.0001194444444,0.1194444444
2023-07-06,137,deso,0.0047,30,0.0001566666667,0.1566666667
2023-07-06,163,brte,0.0454,20,0.00227,2.27
2023-07-06,126,deso,0.0054,37,0.0001459459459,0.1459459459
2023-07-06,165,brte,0.0398,19,0.002094736842,2.094736842
2023-07-06,196,brte,0.0435,19,0.002289473684,2.289473684
2023-07-06,173,navi,0.0365,20,0.001825,1.825
2023-07-06,189,deso,0.0045,36,0.000125,0.125
2023-07-06,154,brte,0.0444,19,0.002336842105,2.336842105
