Species,value,prevalence
upg4,17.099913408549813,14
sece,16.99146669620748,26
brte,14.243648087266733,290
elre,14.22997959794904,202
coar,14.145256269944024,34
sial,12.764250317846503,22
sphe,12.51255734675978,15
bocu,11.991541167155596,53
navi,11.852095410948923,20
satr,11.257485790772472,376
mesa,10.820692785647767,50
kosc,7.118608657007845,323
atca,6.9271856993263965,21
