@T,D1,,,,
descr,observed soil water content at probe D1 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1584,,,
x,,513598,,,
y,,4494850,,,
,04.10.2002,0.217699165,0.178974626,0.142133802,0.154941422
,05.10.2002,0.219147373,0.178390679,0.140975423,0.154618046
,06.10.2002,0.216024672,0.17851191,0.140342384,0.154187493
,07.10.2002,0.21418191,0.178156148,0.139901666,0.153755308
,08.10.2002,0.215703587,0.179005864,0.139619204,0.15332619
,09.10.2002,0.216632404,0.180417805,0.139658598,0.152930329
,10.10.2002,0.213617589,0.180723335,0.139827156,0.152621067
,11.10.2002,0.21171006,0.180928101,0.139870957,0.152379486
,12.10.2002,0.209060143,0.181122395,0.139923533,0.1521915
,13.10.2002,0.203795773,0.180022833,0.139816227,0.152017558
,14.10.2002,0.201629909,0.178757381,0.139317506,0.151869225
,15.10.2002,0.199116248,0.177795014,0.138774026,0.151676986
,16.10.2002,0.197282995,0.176801409,0.13819485,0.151452501
,17.10.2002,0.194343803,0.17570691,0.137612792,0.151182
,18.10.2002,-9999,-9999,-9999,-9999
,19.10.2002,-9999,-9999,-9999,-9999
,20.10.2002,-9999,-9999,-9999,-9999
,21.10.2002,-9999,-9999,-9999,-9999
,22.10.2002,0.190744186,0.173949984,0.135612785,0.149636191
,23.10.2002,0.185460648,0.172276803,0.135176751,0.149367626
,24.10.2002,0.181162026,0.169840514,0.134279404,0.149101639
,25.10.2002,0.179793355,0.167884428,0.133140774,0.148748963
,26.10.2002,0.180871663,0.167335127,0.132183455,0.148319104
,27.10.2002,0.182648857,0.16751803,-9999,0.147835228
,28.10.2002,0.18172727,0.167728999,0.131384289,0.147365954
,29.10.2002,0.180926498,0.167510383,0.131124901,0.146981626
,30.10.2002,0.176794901,0.16634451,0.130760622,0.146625128
,31.10.2002,0.173707018,0.164518647,0.13002969,0.146275948
,01.11.2002,0.171684433,0.162839471,0.129090138,0.145893335
,02.11.2002,0.170265115,0.161565688,0.128156662,0.145450338
,03.11.2002,0.169000628,0.160533178,0.127324541,0.14494504
,04.11.2002,0.16781052,0.159623099,0.126580254,0.14444304
,05.11.2002,0.166784209,0.158757933,0.125873527,0.143921873
,06.11.2002,0.166029734,0.158005972,0.125234777,0.143390629
,07.11.2002,0.166224915,0.157633168,0.12467156,0.142882887
,08.11.2002,0.167162305,0.157520465,0.124273108,0.142374001
,09.11.2002,0.169296389,0.158138514,0.12406294,0.14189734
,10.11.2002,0.168616691,0.158472541,0.124036428,0.141472711
,11.11.2002,0.167786287,0.158268609,0.123948775,0.141117583
,12.11.2002,0.166210778,0.157667597,0.123708428,0.140789573
,13.11.2002,0.166176954,0.157033531,0.123342319,0.140475281
,14.11.2002,0.16810301,0.157251208,0.123035669,0.140157001
,15.11.2002,0.16813483,0.157691981,0.122968713,0.1398237
,16.11.2002,0.16659932,0.15745444,0.122918009,0.139526119
,17.11.2002,0.166509053,0.156938195,0.122684932,0.139257516
,18.11.2002,0.168331285,0.157221863,0.122470302,0.139000218
,19.11.2002,0.168760149,0.157616016,0.12248042,0.138741
,20.11.2002,0.170243901,0.158199879,0.12254317,0.138512785
,21.11.2002,0.171260343,0.158836603,0.122709236,0.138302317
,22.11.2002,0.17221615,0.159395958,0.122895711,0.138135831
,23.11.2002,0.173243533,0.160161772,0.123124986,0.138028553
