@T,D2,,,,
descr,observed soil water content at probe D2 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1583,,,
x,,513623,,,
y,,4494929,,,
,04.10.2002,0.213693828,0.232505556,0.214695485,0.303170347
,05.10.2002,0.205358643,0.232112594,0.213018395,0.302487641
,06.10.2002,0.191639953,0.232427008,0.212165911,0.301697528
,07.10.2002,0.182070066,0.232072356,0.211526593,0.300912128
,08.10.2002,0.180391618,0.233354046,0.211048552,0.300110535
,09.10.2002,0.183967119,0.235471423,0.211054136,0.29942842
,10.10.2002,0.181541848,0.235889388,0.211343673,0.298847971
,11.10.2002,0.180461853,0.236197687,0.211481503,0.298396583
,12.10.2002,0.178568768,0.236550359,0.211622207,0.298035778
,13.10.2002,0.174168923,0.235258378,0.211512473,0.29770642
,14.10.2002,0.172539251,0.233669426,0.210821015,0.297404989
,15.10.2002,0.170608169,0.232520465,0.2100636,0.297041443
,16.10.2002,0.169301698,0.231281435,0.20923232,0.296612445
,17.10.2002,0.166938594,0.229963094,0.20838629,0.296118185
,18.10.2002,-9999,-9999,-9999,-9999
,19.10.2002,-9999,-9999,-9999,-9999
,20.10.2002,-9999,-9999,-9999,-9999
,21.10.2002,-9999,-9999,-9999,-9999
,22.10.2002,0.164595294,0.227693008,0.205467365,0.293286502
,23.10.2002,0.159705862,0.225584369,0.204818173,0.292778382
,24.10.2002,0.155891577,0.222446749,0.203490453,0.292209095
,25.10.2002,0.155070756,0.219864893,0.201795437,0.29156175
,26.10.2002,0.156439765,0.219147508,0.20038098,0.29075121
,27.10.2002,0.158320454,0.219319114,0.199523738,0.289880573
,28.10.2002,0.157558122,0.219590204,0.199146183,0.289028532
,29.10.2002,0.156821767,0.219264897,0.198796198,0.28831394
,30.10.2002,0.15293572,0.217724293,0.198248962,0.287624193
,31.10.2002,0.150310686,0.215330784,0.19715446,0.286945615
,01.11.2002,0.148515345,0.213145218,0.195762449,0.286200284
,02.11.2002,0.147270976,0.211393926,0.194357491,0.2853581
,03.11.2002,0.146239188,0.209956323,0.1930651,0.284436438
,04.11.2002,0.145272141,0.208676563,0.19190531,0.283489603
,05.11.2002,0.1444802,0.207500484,0.190818485,0.282494277
,06.11.2002,0.144257846,0.206552007,0.189798633,0.281517798
,07.11.2002,0.145051075,0.206290545,0.188987144,0.280566737
,08.11.2002,0.145940118,0.206203459,0.188411434,0.279630934
,09.11.2002,0.147891116,0.206889196,0.188091153,0.278766983
,10.11.2002,0.147250954,0.207302315,0.18805442,0.277994445
,11.11.2002,0.146421358,0.206985124,0.187889198,0.277312864
,12.11.2002,0.14493101,0.206192002,0.187530217,0.276692029
,13.11.2002,0.144915816,0.205296241,0.186944127,0.276065385
,14.11.2002,0.146848369,0.205487347,0.186453013,0.275456133
,15.11.2002,0.146940346,0.206046766,0.186330352,0.274844373
,16.11.2002,0.145516588,0.20574818,0.186231242,0.274263133
,17.11.2002,0.14547875,0.205047358,0.185874143,0.273745255
,18.11.2002,0.147259855,0.205322299,0.185551247,0.273244432
,19.11.2002,0.147670987,0.205800263,0.185504405,0.272730995
,20.11.2002,0.149833562,0.206424161,0.185195104,0.272257564
,21.11.2002,0.151494654,0.207066559,0.184937663,0.271797744
,22.11.2002,0.152282032,0.207660649,0.185163722,0.271489273
,23.11.2002,0.153351915,0.208615122,0.18548361,0.27121707
,24.11.2002,0.150776722,0.20869403,0.185850674,0.271020393
,25.11.2002,0.147283331,0.207005929,0.185686635,0.270853286
,26.11.2002,0.144530744,0.205024695,0.184968929,0.270673151
,27.11.2002,0.141832118,0.202790454,0.183929123,0.270352373
,28.11.2002,0.140682362,0.200833116,0.182699311,0.26993699
,29.11.2002,0.141542036,0.199708952,0.181543608,0.26934891
,30.11.2002,0.142818215,0.199894075,0.180812264,0.268745287
,01.12.2002,0.142526933,0.199657689,0.180412744,0.268064325
,02.12.2002,0.144496535,0.199936858,0.180062307,0.267442895
,03.12.2002,0.144855977,0.200741366,0.18006486,0.266903505
,04.12.2002,0.142919915,0.200233389,0.18005975,0.266397203
,05.12.2002,0.14224596,0.199364613,0.179707207,0.265946555
,06.12.2002,0.141860588,0.198901228,0.179304049,0.265570832
,07.12.2002,0.14074824,0.198129495,0.178860706,0.265121025
,08.12.2002,0.14015463,0.197319902,0.178339196,0.264678128
,09.12.2002,0.139643615,0.196698486,0.17781099,0.264206638
,10.12.2002,0.139050688,0.19599939,0.177281186,0.263713058
,11.12.2002,0.13937353,0.195464759,0.176759892,0.26320716
,12.12.2002,0.140246573,0.19562785,0.176390968,0.262688966
,13.12.2002,0.139776689,0.19551256,0.176178931,0.262161753
,14.12.2002,0.140106799,0.195349501,0.175951914,0.261696131
,15.12.2002,0.14069782,0.195481613,0.175755304,0.261250241
,16.12.2002,0.141147585,0.1957038,0.175682245,0.260836839
,17.12.2002,0.141371833,0.19579384,0.175649502,0.260449425
,18.12.2002,0.141812001,0.196131725,0.175641946,0.260107128
,19.12.2002,0.140240625,0.195858643,0.175662098,0.259809827
,20.12.2002,0.13822144,0.194835811,0.175385168,0.259541474
,21.12.2002,0.137287684,0.193639774,0.174854682,0.259228613
,22.12.2002,0.136539547,0.192810484,0.1742474,0.258871334
,23.12.2002,0.136057592,0.192072333,0.173691407,0.258463369
,24.12.2002,0.134392958,0.191297168,0.173148987,0.258017588
,25.12.2002,0.13247505,0.190017561,0.172517873,0.25753731
,26.12.2002,0.130741369,0.188597095,0.171716605,0.257006765
,27.12.2002,0.130108139,0.187254102,0.17079616,0.256426129
,28.12.2002,0.131676663,0.186750095,0.169962533,0.255789296
,29.12.2002,0.133061096,0.187026569,0.169463999,0.255134403
,30.12.2002,0.13467436,0.187566535,0.16926926,0.254496318
,31.12.2002,0.135268254,0.188308018,0.169316082,0.253919063
,01.01.2003,0.136142188,0.188665651,0.169431934,0.253446472
,02.01.2003,0.136472857,0.189258002,0.169570019,0.253024751
,03.01.2003,0.137192153,0.189426273,0.169698305,0.252682018
,04.01.2003,0.14017034,0.190551614,0.169898267,0.25243063
,05.01.2003,0.141136679,0.191877722,0.170397528,0.252191963
,06.01.2003,0.142003492,0.192816062,0.170969519,0.252038167
,07.01.2003,0.141658198,0.193374189,0.171478045,0.251972271
,08.01.2003,0.142611345,0.193670438,0.17179107,0.25198796
,09.01.2003,0.143078003,0.194485104,0.172174134,0.252047582
,10.01.2003,0.139948732,0.194129491,0.172502841,0.252104072
,11.01.2003,0.136030974,0.192237158,0.172293647,0.252166844
,12.01.2003,0.134678359,0.190352248,0.171512902,0.252129183
,13.01.2003,0.135086515,0.189321468,0.170684668,0.25194717
,14.01.2003,0.136705933,0.189200091,0.170086005,0.251677417
,15.01.2003,0.137655312,0.18973271,0.169878489,0.251348311
,16.01.2003,0.137030923,0.189848709,0.169863674,0.251022583
,17.01.2003,0.136920718,0.189647079,0.169784686,0.250759676
,18.01.2003,0.136126721,0.189429046,0.169648964,0.25052508
,19.01.2003,0.136271132,0.188968563,0.169417149,0.250281235
,20.01.2003,0.138085153,0.189249756,0.169215063,0.250034421
,21.01.2003,0.139589297,0.190188838,0.169321019,0.24979711
,22.01.2003,0.138734488,0.190700842,0.169636634,0.249631683
,23.01.2003,0.136249343,0.189956683,0.16970078,0.249463217
,24.01.2003,0.136412755,0.189067792,0.169362934,0.249332243
,25.01.2003,0.137716663,0.189081551,0.169052528,0.249160779
,26.01.2003,0.138744384,0.189688532,0.169030365,0.248964453
,27.01.2003,0.140678198,0.190291214,0.169153489,0.248758884
,28.01.2003,0.143473658,0.19194195,0.169565142,0.248625003
,29.01.2003,0.143082355,0.193050323,0.170254105,0.24854408
,30.01.2003,0.142900449,0.193284807,0.170714305,0.248547192
,31.01.2003,0.144102437,0.193678846,0.17100418,0.248628111
,01.02.2003,0.146245618,0.19461138,0.171368827,0.248740199
,02.02.2003,0.148816345,0.196377373,0.172037361,0.248864765
,03.02.2003,0.146362441,0.1971192,0.172876915,0.249045461
,04.02.2003,0.142442988,0.195859118,0.173168923,0.24929171
,05.02.2003,0.140365197,0.193986825,0.172787097,0.249544322
,06.02.2003,0.138888193,0.192634982,0.17215923,0.249697213
,07.02.2003,0.13656043,0.191214091,0.171468175,0.249672248
,08.02.2003,0.134608231,0.189570125,0.170657457,0.249534963
,09.02.2003,0.134707868,0.188349289,0.169735436,0.249304183
,10.02.2003,0.133638957,0.187646188,0.169018127,0.24895512
,11.02.2003,0.133695797,0.186843185,0.168366532,0.248559659
,12.02.2003,0.134174838,0.18650397,0.167799728,0.24813038
,13.02.2003,0.135178513,0.186520367,0.167437175,0.247685991
,14.02.2003,0.137024141,0.186936246,0.167226723,0.247242082
,15.02.2003,0.139144319,0.188091024,0.167341725,0.246888535
,16.02.2003,0.139632985,0.188985127,0.167699232,0.246581739
,17.02.2003,0.140628505,0.189680258,0.168069461,0.246389728
,18.02.2003,0.141845336,0.190606733,0.168474584,0.246312335
,19.02.2003,0.142581868,0.191394215,0.168939325,0.246278286
,20.02.2003,0.14158892,0.191727521,0.169365387,0.246296859
,21.02.2003,0.141913853,0.19159134,0.169537953,0.24634329
,22.02.2003,0.142279777,0.191899853,0.169683508,0.246414493
,23.02.2003,0.140878617,0.191880417,0.169873551,0.246510491
,24.02.2003,0.136630831,0.19048261,0.169782231,0.246560051
,25.02.2003,0.133416211,0.188261923,0.169101905,0.246560051
,26.02.2003,0.133260425,0.186531478,0.168096602,0.246436174
,27.02.2003,0.134757206,0.185987689,0.16722923,0.24616688
,28.02.2003,0.135778501,0.186195193,0.166777005,0.245808079
,01.03.2003,0.136008285,0.186506696,0.166637825,0.245458841
,02.03.2003,0.13638124,0.186534033,0.166552412,0.245134598
,03.03.2003,0.1384308,0.18701566,0.16648897,0.244832206
,04.03.2003,0.139799871,0.188242208,0.166759925,0.244647168
,05.03.2003,0.137575794,0.188184367,0.167089763,0.244465309
,06.03.2003,0.138467334,0.187802463,0.167035982,0.244342056
,07.03.2003,0.141140478,0.188621746,0.167060433,0.244246566
,08.03.2003,0.144240135,0.190222311,0.167483732,0.24416341
,09.03.2003,0.146206863,0.192139366,0.168280642,0.244132614
,10.03.2003,0.147227867,0.193393835,0.169146198,0.244218847
