@T,climate ,,,,,
name,wind ,,,,,
desc,wind speed ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,21.11.2001 ,,,,,
date_end,31.01.2020,,,,,
date_format,dd.MM.yyyy ,,,,,
,,,,,,
tres,d ,,,,,
unit,m/s ,,,,,
,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4]
name,-,EnergyTower1,EnergyTower2,METOS,Vaisala,COAGMETAult
ID,-,1,2,3,4,5
elevation,-,1584.435,1584.867,1571,1571,1497
,19.02.2002,-9999,-9999,4.147943056,-9999,4.649743403
,20.02.2002,-9999,-9999,5.066395556,-9999,5.567390972
,21.02.2002,-9999,-9999,4.724033333,-9999,5.354777546
,22.02.2002,-9999,-9999,3.61794,-9999,3.093252662
,23.02.2002,-9999,-9999,3.739741944,-9999,4.047004398
,24.02.2002,-9999,-9999,4.504021713,-9999,5.19331169
,25.02.2002,-9999,-9999,5.63261,-9999,6.509107986
,26.02.2002,-9999,-9999,5.273788056,-9999,5.103051273
,27.02.2002,-9999,-9999,4.690565231,-9999,4.966657755
,28.02.2002,-9999,-9999,4.812915833,-9999,4.638711574
,01.03.2002,-9999,-9999,4.694405833,-9999,5.287583681
,02.03.2002,-9999,-9999,2.758193843,-9999,2.872616088
,03.03.2002,-9999,-9999,4.387157685,-9999,4.6347
,04.03.2002,-9999,-9999,2.078407315,-9999,2.185634028
,05.03.2002,-9999,-9999,2.228190787,-9999,2.547678588
,06.03.2002,-9999,-9999,3.267347917,-9999,3.422201736
,07.03.2002,-9999,-9999,3.117015787,-9999,3.330938426
,08.03.2002,-9999,-9999,5.967291019,-9999,6.606388657
,09.03.2002,-9999,-9999,3.479129676,-9999,3.792269444
,10.03.2002,-9999,-9999,2.215023009,-9999,2.638941898
,11.03.2002,-9999,-9999,4.399228148,-9999,4.646734722
,12.03.2002,-9999,-9999,3.149935231,-9999,3.57163287
,13.03.2002,-9999,-9999,4.863940972,-9999,5.15620463
,14.03.2002,-9999,-9999,3.864835833,-9999,5.344748611
,15.03.2002,-9999,-9999,2.063593565,-9999,2.315007292
,16.03.2002,-9999,-9999,3.059406759,-9999,4.010900231
,17.03.2002,-9999,-9999,2.840492454,-9999,2.895682639
,18.03.2002,-9999,-9999,2.601826481,-9999,3.253715625
,19.03.2002,-9999,-9999,2.010922454,-9999,1.876742824
,20.03.2002,-9999,-9999,3.402317639,-9999,3.920639815
,21.03.2002,-9999,-9999,3.241012361,-9999,3.689974306
,22.03.2002,-9999,-9999,2.09212375,-9999,2.270879977
,23.03.2002,-9999,-9999,2.794405231,-9999,3.240678009
,24.03.2002,-9999,-9999,3.167492269,-9999,4.199444213
,25.03.2002,-9999,-9999,2.190333426,-9999,3.036087731
,26.03.2002,-9999,-9999,2.236420648,-9999,2.516588889
,27.03.2002,-9999,-9999,4.743236343,-9999,4.417072106
,28.03.2002,-9999,-9999,5.05267912,-9999,4.659772338
,29.03.2002,-9999,-9999,3.464315926,-9999,3.161449421
,30.03.2002,-9999,-9999,3.3512925,-9999,3.506444792
,31.03.2002,-9999,-9999,2.830067963,-9999,2.774332523
,01.04.2002,-9999,-9999,6.018316157,-9999,5.950496296
,02.04.2002,-9999,-9999,4.203906111,-9999,4.855336574
,03.04.2002,-9999,-9999,3.76388287,-9999,4.165345833
,04.04.2002,-9999,-9999,3.27722375,-9999,3.042105093
,05.04.2002,-9999,-9999,3.135121481,-9999,3.557592361
,06.04.2002,-9999,-9999,3.329346204,-9999,3.205576736
,07.04.2002,-9999,-9999,4.073874306,-9999,4.661778125
,08.04.2002,-9999,-9999,4.730617222,-9999,4.475239931
,09.04.2002,-9999,-9999,2.461918843,-9999,2.75928912
,10.04.2002,-9999,-9999,3.863738519,-9999,4.554468519
,11.04.2002,-9999,-9999,3.311789167,-9999,3.854448843
,12.04.2002,-9999,-9999,2.173325046,-9999,2.54266412
,13.04.2002,-9999,-9999,3.594347731,-9999,3.951729514
,14.04.2002,-9999,-9999,2.864084722,-9999,2.991960417
,15.04.2002,-9999,-9999,2.735698889,-9999,2.75628044
,16.04.2002,-9999,-9999,5.611212361,-9999,5.478133449
,17.04.2002,-9999,-9999,5.409306435,-9999,5.548335995
,18.04.2002,-9999,-9999,5.32152125,-9999,6.052791435
,19.04.2002,-9999,-9999,4.2401175,-9999,4.524381713
,20.04.2002,-9999,-9999,5.429058102,-9999,5.287583681
,21.04.2002,-9999,-9999,3.582825926,-9999,3.801295486
,22.04.2002,-9999,-9999,4.720741389,-9999,4.242568634
,23.04.2002,-9999,-9999,3.711211759,-9999,3.655875926
,24.04.2002,-9999,-9999,5.261168935,-9999,4.706908333
,25.04.2002,-9999,-9999,3.898852593,-9999,4.099154861
,26.04.2002,-9999,-9999,4.664778333,-9999,4.640717361
,27.04.2002,-9999,-9999,4.570957917,-9999,4.99373588
,28.04.2002,-9999,-9999,3.79351037,-9999,4.159328472
,29.04.2002,-9999,-9999,3.416034074,-9999,3.611748611
,30.04.2002,-9999,-9999,4.868878889,-9999,4.715934375
,01.05.2002,-9999,-9999,5.815861574,-9999,6.249358565
,02.05.2002,-9999,-9999,2.89206625,-9999,2.834506134
,03.05.2002,-9999,-9999,3.73645,-9999,3.504439005
,04.05.2002,-9999,-9999,4.782191019,-9999,4.168354514
,05.05.2002,-9999,-9999,3.014965509,-9999,2.959867824
,06.05.2002,-9999,-9999,3.109883241,-9999,3.432230671
,07.05.2002,-9999,-9999,3.014416852,-9999,3.508450579
,08.05.2002,-9999,-9999,6.989988426,-9999,6.854103356
,09.05.2002,-9999,-9999,3.779245278,-9999,3.371054167
,10.05.2002,-9999,-9999,4.292788611,-9999,4.508335417
,11.05.2002,-9999,-9999,5.05267912,-9999,6.111962153
,12.05.2002,-9999,-9999,3.313435139,-9999,3.373059954
,13.05.2002,-9999,-9999,2.573296296,-9999,2.649973727
,14.05.2002,-9999,-9999,3.265153287,-9999,3.151420486
,15.05.2002,-9999,-9999,3.683778889,-9999,3.419193056
,16.05.2002,-9999,-9999,3.794059028,-9999,4.393002662
,17.05.2002,-9999,-9999,2.294578333,-9999,2.77633831
,18.05.2002,-9999,-9999,3.076415139,-9999,3.771208681
,19.05.2002,-9999,-9999,4.555595509,-9999,4.584555324
,20.05.2002,-9999,-9999,3.490651481,-9999,3.63982963
,21.05.2002,-9999,-9999,5.054325093,-9999,4.808200579
,22.05.2002,-9999,-9999,7.317536898,-9999,6.556243981
,23.05.2002,-9999,-9999,4.290045324,-9999,4.574526389
,24.05.2002,-9999,-9999,2.505811435,-9999,2.648970833
,25.05.2002,-9999,-9999,2.250685741,-9999,1.967003241
,26.05.2002,-9999,-9999,3.360071019,-9999,2.768315162
,27.05.2002,-9999,-9999,3.27502912,-9999,3.327929745
,28.05.2002,-9999,-9999,3.124696991,-9999,2.614872454
,29.05.2002,-9999,-9999,3.77869662,-9999,3.392114931
,30.05.2002,-9999,-9999,2.435583287,-9999,2.164573264
,31.05.2002,-9999,-9999,3.307399907,-9999,3.018035648
,01.06.2002,-9999,-9999,2.708814676,-9999,2.421314005
,02.06.2002,-9999,-9999,3.848924769,-9999,3.701006134
,03.06.2002,-9999,-9999,4.84748125,-9999,5.182279861
,04.06.2002,-9999,-9999,2.476183935,-9999,2.961873611
,05.06.2002,-9999,-9999,2.591401991,-9999,2.140503819
,06.06.2002,-9999,-9999,2.450397037,-9999,2.457418171
,07.06.2002,-9999,-9999,3.418228704,-9999,3.767197106
,08.06.2002,-9999,-9999,2.544217454,-9999,3.223628819
,09.06.2002,-9999,-9999,3.639886296,-9999,3.870495139
,10.06.2002,-9999,-9999,5.227152176,-9999,4.233542593
,11.06.2002,-9999,-9999,2.692354954,-9999,2.914737616
,12.06.2002,-9999,-9999,4.240666157,-9999,4.064053588
,13.06.2002,-9999,-9999,2.668214028,-9999,3.163455208
,14.06.2002,-9999,-9999,2.391690694,-9999,2.449395023
,15.06.2002,-9999,-9999,4.119961528,-9999,4.297727778
,16.06.2002,-9999,-9999,2.437777917,-9999,2.486502083
,17.06.2002,-9999,-9999,2.244101852,-9999,1.547693461
,18.06.2002,-9999,-9999,2.679187176,-9999,1.551003009
,19.06.2002,-9999,-9999,2.945834676,-9999,4.090128819
,20.06.2002,-9999,-9999,3.48461625,-9999,3.349993403
,21.06.2002,-9999,-9999,3.043495694,-9999,2.797399074
,22.06.2002,-9999,-9999,2.610056343,-9999,2.578768287
,23.06.2002,-9999,-9999,2.473989306,-9999,2.609857986
,24.06.2002,-9999,-9999,2.78617537,-9999,2.588797222
,25.06.2002,-9999,-9999,2.910171944,-9999,3.071189005
,26.06.2002,-9999,-9999,2.517333241,-9999,2.355123032
,27.06.2002,-9999,-9999,2.501970833,-9999,2.206694792
,28.06.2002,-9999,-9999,3.111529213,-9999,2.623898495
,29.06.2002,-9999,-9999,2.521173843,-9999,2.004110301
,30.06.2002,-9999,-9999,3.16090838,-9999,2.686077894
,01.07.2002,-9999,-9999,2.968878287,-9999,2.379192477
,02.07.2002,-9999,-9999,3.240463704,-9999,2.926772338
,03.07.2002,-9999,-9999,3.716149676,-9999,3.137379977
,04.07.2002,-9999,-9999,3.119210417,-9999,2.537649653
,05.07.2002,-9999,-9999,2.561774491,-9999,2.987948843
,06.07.2002,-9999,-9999,2.571101667,-9999,2.674043171
,07.07.2002,-9999,-9999,2.681381806,-9999,2.390224306
,08.07.2002,-9999,-9999,2.665470741,-9999,2.346096991
,09.07.2002,-9999,-9999,3.833013704,-9999,3.194544907
,10.07.2002,-9999,-9999,2.715398565,-9999,2.63091875
,11.07.2002,-9999,-9999,2.562323148,-9999,2.657996875
,12.07.2002,-9999,-9999,2.633099954,-9999,2.059269444
,13.07.2002,-9999,-9999,3.029779259,-9999,2.362143287
,14.07.2002,-9999,-9999,2.935958843,-9999,2.676048958
,15.07.2002,-9999,-9999,3.126342963,-9999,3.038093519
,16.07.2002,-9999,-9999,2.966683657,-9999,2.492519444
,17.07.2002,-9999,-9999,2.935410185,-9999,2.410282176
,18.07.2002,-9999,-9999,2.690160324,-9999,2.223743981
,19.07.2002,-9999,-9999,2.994665185,-9999,2.420311111
,20.07.2002,-9999,-9999,4.576993148,-9999,3.581661806
,21.07.2002,-9999,-9999,3.546614537,-9999,3.336955787
,22.07.2002,-9999,-9999,3.262958657,-9999,2.842529282
,23.07.2002,-9999,-9999,3.149935231,-9999,2.82748588
