@T,A4,,,,
descr,observed soil water content at probe A4 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1571,,,
x,,513622,,,
y,,4495211,,,
,28.01.2003,-9999,-9999,-9999,-9999
,29.01.2003,-9999,-9999,-9999,-9999
,30.01.2003,-9999,-9999,-9999,-9999
,31.01.2003,-9999,-9999,-9999,-9999
,01.02.2003,-9999,-9999,-9999,-9999
,02.02.2003,-9999,-9999,-9999,-9999
,03.02.2003,-9999,-9999,-9999,-9999
,04.02.2003,-9999,-9999,-9999,-9999
,05.02.2003,-9999,-9999,-9999,-9999
,06.02.2003,-9999,-9999,-9999,-9999
,07.02.2003,-9999,-9999,-9999,-9999
,08.02.2003,-9999,-9999,-9999,-9999
,09.02.2003,-9999,-9999,-9999,-9999
,10.02.2003,-9999,-9999,-9999,-9999
,11.02.2003,-9999,-9999,-9999,-9999
,12.02.2003,-9999,-9999,-9999,-9999
,13.02.2003,-9999,-9999,-9999,-9999
,14.02.2003,-9999,-9999,-9999,-9999
,15.02.2003,-9999,-9999,-9999,-9999
,16.02.2003,-9999,-9999,-9999,-9999
,17.02.2003,-9999,-9999,-9999,-9999
,18.02.2003,-9999,-9999,-9999,-9999
,19.02.2003,-9999,-9999,-9999,-9999
,20.02.2003,-9999,-9999,-9999,-9999
,21.02.2003,0.10673243,0.073237675,0.082009755,0.087822148
,22.02.2003,0.107107443,0.073360018,0.082048516,0.087898468
,23.02.2003,0.106246835,0.073337211,0.082109197,0.087965735
,24.02.2003,0.103037253,0.072495499,0.082085597,0.088009385
,25.02.2003,0.10065666,0.071132394,0.081822905,0.087885764
,26.02.2003,0.101024138,0.07028408,0.081352632,0.087559011
,27.02.2003,0.102791456,0.070392311,0.080990888,0.087196772
,28.02.2003,0.103673796,0.070779836,0.080872193,0.086932888
,01.03.2003,0.103707421,0.071018055,0.080890575,0.086795716
,02.03.2003,0.103950629,0.071030858,0.080893917,0.086723578
,03.03.2003,0.105413902,0.071369174,0.080887233,0.08665868
,04.03.2003,0.106305826,0.071980802,0.081000918,0.086698338
,05.03.2003,0.104617093,0.071843738,0.08116993,0.086783089
,06.03.2003,0.105257023,0.071624633,0.08113142,0.086826385
,07.03.2003,0.107147713,0.07205345,0.081119705,0.086813755
,08.03.2003,0.10916756,0.072847259,0.081257048,0.086884141
,09.03.2003,0.110459814,0.073734444,0.081547269,0.087044878
,10.03.2003,0.111170901,0.074300343,0.081920526,0.087294475
,11.03.2003,0.113196158,0.075024485,0.082269512,0.087573502
,12.03.2003,0.115271019,0.076022444,0.082690502,0.087905773
,13.03.2003,0.117107308,0.077112203,0.083245285,0.088300746
,14.03.2003,0.118848395,0.078129887,0.083872256,0.088777205
,15.03.2003,0.121412695,0.079248026,0.084491729,0.089304728
,16.03.2003,0.122551998,0.080452695,0.085207035,0.089900416
,17.03.2003,0.122876811,0.081109364,0.085910222,0.09052435
,18.03.2003,0.120077337,0.081026333,0.086453325,0.091134114
,19.03.2003,0.116469554,0.079790983,0.086625505,0.091597192
,20.03.2003,0.114884159,0.078462558,0.086399418,0.091779825
,21.03.2003,0.116458345,0.078060192,0.086024489,0.091718295
,22.03.2003,0.118352692,0.078603294,0.085868537,0.091623245
,23.03.2003,0.119373496,0.079119488,0.085984603,0.09163256
,24.03.2003,0.121042819,0.079914178,0.086185809,0.091761183
,25.03.2003,0.118633477,0.079802537,0.086500226,0.091992593
,26.03.2003,0.119455684,0.079565756,0.086496744,0.092151408
,27.03.2003,0.12001529,0.079936284,0.086580262,0.092267363
,28.03.2003,0.116890389,0.079360803,0.086689922,0.092417102
,29.03.2003,0.115290425,0.078406372,0.086503718,0.092469543
,30.03.2003,0.114546465,0.07754488,0.08619275,0.092347836
,31.03.2003,0.116868366,0.077527901,0.08584604,0.092136466
,01.04.2003,0.120355874,0.078545869,0.085780253,0.091968304
,02.04.2003,0.122769086,0.079819907,0.086050522,0.091992583
,03.04.2003,0.124214384,0.080964055,0.086582097,0.092244934
,04.04.2003,0.123862617,0.08151878,0.087117263,0.092615769
,05.04.2003,0.122628235,0.081494505,0.087482718,0.092987472
,06.04.2003,0.121026724,0.081027983,0.087608818,0.093269648
,07.04.2003,0.118623073,0.080153213,0.087580789,0.093427883
,08.04.2003,0.118123195,0.079268218,0.087286759,0.093420351
,09.04.2003,0.120361478,0.079317674,0.08697756,0.093258346
,10.04.2003,0.123846513,0.080273726,0.086949641,0.093149172
,11.04.2003,0.126942653,0.081741943,0.087258824,0.093235753
,12.04.2003,0.129577054,0.083197684,0.087873836,0.093546719
,13.04.2003,0.131590333,0.084503463,0.088595384,0.09401903
,14.04.2003,0.133354615,0.085638827,0.089320482,0.094599064
,15.04.2003,0.134455189,0.086579553,0.090040141,0.09520408
,16.04.2003,0.132569568,0.086840918,0.090648722,0.095820955
,17.04.2003,0.13141543,0.086340153,0.090960156,0.096340293
,18.04.2003,0.13260879,0.086340048,0.091024683,0.096676561
,19.04.2003,0.132091167,0.086492987,0.091216648,0.096965371
,20.04.2003,0.130663754,0.086104791,0.091324382,0.097229586
,21.04.2003,0.131104437,0.085819478,0.091263315,0.097376342
,22.04.2003,0.13312277,0.08613884,0.091252546,0.097488436
,23.04.2003,0.133511005,0.086905944,0.091540193,0.097707093
,24.04.2003,0.130055895,0.086294075,0.091992284,0.098197579
,25.04.2003,0.132293763,0.085158123,0.091756152,0.098384045
,26.04.2003,0.137320921,0.085076003,0.091417834,0.098308258
,27.04.2003,0.145536519,0.086124823,0.091283078,0.098197546
,28.04.2003,0.154518923,0.087615644,0.091516757,0.098251927
,29.04.2003,0.16458595,0.088810355,0.091985134,0.098522159
,30.04.2003,0.173869328,0.089699678,0.092563563,0.098929277
,01.05.2003,0.182097935,0.089572902,0.093007775,0.099366698
,02.05.2003,0.1929833,0.089200136,0.093127658,0.09969158
,03.05.2003,0.208565103,0.089902409,0.093236764,0.099909193
,04.05.2003,0.224880392,0.091771832,0.094105515,0.100237167
,05.05.2003,0.235107762,0.092486416,0.094847274,0.100676056
,06.05.2003,0.242792366,0.092284224,0.09513781,0.101084475
,07.05.2003,0.250364454,0.092267365,0.095281443,0.101386977
,08.05.2003,0.257036845,0.09243959,0.095421532,0.101648405
,09.05.2003,0.259887257,0.092360992,0.095585724,0.101876485
,10.05.2003,0.285428088,0.091619811,0.095676204,0.102104883
,11.05.2003,0.35424149,0.090245727,0.095434548,0.102248015
,12.05.2003,0.356546288,0.090047815,0.094687568,0.102081043
,13.05.2003,0.357930247,0.091355823,0.09434094,0.101856638
,14.05.2003,0.357973747,0.093063401,0.094628801,0.101807027
,15.05.2003,0.358825422,0.095378974,0.095244768,0.102019462
,16.05.2003,0.358070235,0.097850107,0.096079503,0.102443112
,17.05.2003,0.359046859,0.101874808,0.096948446,0.103031573
,18.05.2003,0.358232329,0.108696829,0.098011115,0.10373836
,19.05.2003,0.354046339,0.117713836,0.098967458,0.104514493
,20.05.2003,0.347506596,0.125787749,0.099465539,0.105198893
,21.05.2003,0.345956145,0.133718024,0.099389958,0.105638386
,22.05.2003,0.348279442,0.143468128,0.09933896,0.105879879
,23.05.2003,0.350034894,0.154160313,0.099772123,0.106166472
,24.05.2003,0.350902505,0.164540191,0.10050475,0.106632926
,25.05.2003,0.349904327,0.173444943,0.101324502,0.107241722
,26.05.2003,0.348945934,0.18069465,0.101983154,0.107887459
,27.05.2003,0.348073527,0.186391575,0.102499988,0.108486055
,28.05.2003,0.349786572,0.191519545,0.10292775,0.109028747
,29.05.2003,0.351182324,0.196521487,0.103623703,0.109604186
,30.05.2003,0.35172611,0.200852975,0.104481965,0.110289615
,31.05.2003,0.349328286,0.203956193,0.105336492,0.111056936
,01.06.2003,0.346863004,0.205372578,0.105857408,0.111764458
,02.06.2003,0.34460973,0.206057368,0.10603599,0.112312613
,03.06.2003,0.34312327,0.206758743,0.106043845,0.112670522
,04.06.2003,0.343972284,0.206997911,0.10600457,0.112923573
,05.06.2003,0.352923102,0.206607622,0.105763321,0.113031214
,06.06.2003,0.349515468,0.211279287,0.10507066,0.112904587
,07.06.2003,0.349656123,0.219579224,0.104365097,0.1126031
,08.06.2003,0.34742714,0.227981208,0.10377279,0.112289459
,09.06.2003,0.34838171,0.233753779,0.103532545,0.112014128
,10.06.2003,0.34763563,0.237182431,0.103829027,0.111955328
,11.06.2003,0.348416162,0.239732537,0.104382618,0.112096055
,12.06.2003,0.347852524,0.241896255,0.105170388,0.112417811
,13.06.2003,0.347205177,0.243367565,0.106130542,0.112864536
,14.06.2003,0.34661594,0.244319083,0.107251996,0.11339057
,15.06.2003,0.346696172,0.245286288,0.108531786,0.11390956
,16.06.2003,0.34713673,0.246531275,0.110085677,0.114470408
,17.06.2003,0.346448743,0.24754066,0.111883551,0.115075565
,18.06.2003,0.344427565,0.247806895,0.11383594,0.115731868
,19.06.2003,0.342869818,0.247311669,0.115725581,0.116325908
,20.06.2003,0.342450845,0.247146677,0.117642429,0.116777477
