@T,A2,,,,
descr,observed soil water content at probe A2 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,18.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1570,,,
x,,513653,,,
y,,4495343,,,
,18.10.2002,0.143174077,0.257025159,0.236655522,0.178096249
,19.10.2002,0.134192616,0.25624589,0.235847639,0.177660377
,20.10.2002,0.129165408,0.255402411,0.235246895,0.177263181
,21.10.2002,0.124078974,0.254767544,0.234826265,0.176958852
,22.10.2002,0.119257252,0.252824966,0.234298738,0.17660604
,23.10.2002,0.121050289,0.248610977,0.233122569,0.175985558
,24.10.2002,0.12741112,0.245114378,0.23134541,0.17500198
,25.10.2002,0.134037339,0.24376828,0.22967888,0.173897963
,26.10.2002,0.133793715,0.24408067,0.228676624,0.172803409
,27.10.2002,0.145991163,0.245009259,0.228032367,0.171963775
,28.10.2002,0.146349207,0.244258953,0.22774107,0.171355664
,29.10.2002,0.161236681,0.243242125,0.227184718,0.170823322
,30.10.2002,0.264003902,0.239944908,0.226033194,0.170244188
,31.10.2002,0.304506966,0.237172688,0.224396209,0.169539171
,01.11.2002,0.31749645,0.234797607,0.222674741,0.168664279
,02.11.2002,0.322296645,0.2321108,0.220942246,0.167739411
,03.11.2002,0.320502267,0.229331478,0.219352333,0.166898905
,04.11.2002,0.316984507,0.22742842,0.217906331,0.165925006
,05.11.2002,0.319004143,0.225576922,0.216565498,0.164811294
,06.11.2002,0.32189946,0.223928712,0.215207822,0.163803053
,07.11.2002,0.319008251,0.223520149,0.214290025,0.162963966
,08.11.2002,0.318086852,0.22410447,0.213784254,0.162336348
,09.11.2002,0.313495505,0.225717674,0.213731861,0.16188008
,10.11.2002,0.306512146,0.22577543,0.213744187,0.161517195
,11.11.2002,0.301344426,0.225650299,0.213457756,0.1611394
,12.11.2002,0.29688868,0.224577553,0.212925595,0.160598052
,13.11.2002,0.300387541,0.224692742,0.212173196,0.160024484
,14.11.2002,0.300665371,0.22658498,0.211881839,0.159538923
,15.11.2002,0.297022373,0.227444256,0.211930886,0.159227595
,16.11.2002,0.29283586,0.226787629,0.211719453,0.158914133
,17.11.2002,0.294495337,0.226903386,0.211238765,0.15851707
,18.11.2002,0.292712442,0.228557753,0.211033803,0.158163758
,19.11.2002,0.291533975,0.229476797,0.211113315,0.1579454
,20.11.2002,0.291741939,0.230735882,0.211269345,0.15771712
,21.11.2002,0.295394042,0.232998408,0.211612245,0.157532035
,22.11.2002,0.295798978,0.234488508,0.212133297,0.157696802
,23.11.2002,0.29647533,0.235750771,0.212593698,0.157937785
,24.11.2002,0.294757355,0.23636014,0.212993164,0.158206934
,25.11.2002,0.292041665,0.235513787,0.212891729,0.158308565
,26.11.2002,0.289501122,0.234226172,0.212237672,0.158092656
,27.11.2002,0.286915615,0.232521345,0.211254192,0.157559979
,28.11.2002,0.286090437,0.231132582,0.210096453,0.156838762
,29.11.2002,0.286804328,0.23062848,0.209073163,0.156031243
,30.11.2002,0.287286323,0.231044655,0.208401698,0.155354327
,01.12.2002,0.286881852,0.231151989,0.208064963,0.154862237
,02.12.2002,0.288197894,0.231689334,0.207752786,0.154421133
,03.12.2002,0.288242178,0.232687645,0.207683116,0.154138324
,04.12.2002,0.286265421,0.232514517,0.207664947,0.153970788
,05.12.2002,0.285317252,0.231966328,0.207295675,0.153686016
,06.12.2002,0.284488656,0.231669719,0.206763591,0.15330676
,07.12.2002,0.283246094,0.231119495,0.206289651,0.152893225
,08.12.2002,0.282440658,0.230560275,0.205659764,0.152410777
,09.12.2002,0.281526887,0.230057028,0.205027987,0.151944116
,10.12.2002,0.280804282,0.229547953,0.204376362,0.151473354
,11.12.2002,0.28123041,0.229317932,0.203785878,0.150998514
,12.12.2002,0.281733415,0.229823483,0.203411695,0.150573889
