@T,C3,,,,
descr,observed soil water content at probe C3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1583,,,
x,,513563,,,
y,,4494987,,,
,22.10.2002,0.110439508,0.119111012,0.103449739,0.119488622
,23.10.2002,0.109116948,0.116743879,0.102718686,0.119159174
,24.10.2002,0.113128529,0.114827577,0.101572758,0.118674566
,25.10.2002,0.119854181,0.114521854,0.100586042,0.118033775
,26.10.2002,0.123247158,0.114907961,0.100047268,0.117428892
,27.10.2002,0.126153445,0.115420375,0.099789215,0.11693997
,28.10.2002,0.127227991,0.115765508,0.099736877,0.116612593
,29.10.2002,0.127927679,0.115603479,0.099630334,0.116380599
,30.10.2002,0.126131106,0.114800045,0.099374916,0.116153093
,31.10.2002,0.124521349,0.113440377,0.098778546,0.115841776
,01.11.2002,0.123849962,0.112186435,0.09798664,0.115358964
,02.11.2002,0.123711715,0.111386338,0.097207964,0.114822956
,03.11.2002,0.123455227,0.110722637,0.096567918,0.114269659
,04.11.2002,0.123033709,0.110079939,0.095975881,0.113761624
,05.11.2002,0.122634586,0.109441511,0.09540866,0.113236273
,06.11.2002,0.122379452,0.108881343,0.094856609,0.112741318
,07.11.2002,0.122634625,0.108566971,0.094372046,0.112282734
,08.11.2002,0.123057771,0.108355667,0.093986232,0.11184995
,09.11.2002,0.12463982,0.108628594,0.093730136,0.111481833
,10.11.2002,0.124590365,0.108819625,0.093681584,0.111198523
,11.11.2002,0.124239756,0.108612159,0.093565885,0.110991457
,12.11.2002,0.123270367,0.10813653,0.093332878,0.110782583
,13.11.2002,0.12298869,0.107549687,0.09296635,0.110514663
,14.11.2002,0.124419988,0.10760889,0.09264514,0.110202228
,15.11.2002,0.124802595,0.107915401,0.092572815,0.109947348
,16.11.2002,0.123921743,0.10777439,0.092509803,0.109786457
,17.11.2002,0.12358962,0.10730693,0.092295024,0.10961147
,18.11.2002,0.124931565,0.107400753,0.092089743,0.109393983
,19.11.2002,0.12535317,0.107690553,0.092074959,0.109219357
,20.11.2002,0.126196533,0.107995198,0.092097135,0.109103712
,21.11.2002,0.126905037,0.108343386,0.092204364,0.1090226
,22.11.2002,0.127680326,0.108733332,0.092348686,0.109000304
,23.11.2002,0.128696342,0.109225072,0.092530203,0.10901652
,24.11.2002,0.127538341,0.109297159,0.092760164,0.109089513
,25.11.2002,0.125548505,0.108522013,0.092691523,0.109128052
,26.11.2002,0.123675403,0.107500963,0.092333923,0.109050991
,27.11.2002,0.121380262,0.106244419,0.091752068,0.108799765
,28.11.2002,0.120495243,0.105143173,0.091008923,0.108413456
,29.11.2002,0.120886555,0.104620233,0.090375272,0.107975531
,30.11.2002,0.12178013,0.104706598,0.090006519,0.10757283
,01.12.2002,0.121502716,0.104630263,0.089817051,0.107277422
,02.12.2002,0.122733041,0.104782963,0.089636895,0.107020594
,03.12.2002,0.123136489,0.105124926,0.089673273,0.10683221
,04.12.2002,0.122024791,0.10492972,0.08966236,0.106730088
,05.12.2002,0.121490847,0.104515895,0.08944973,0.106594029
,06.12.2002,0.121219629,0.104207128,0.089224685,0.106374168
,07.12.2002,0.12042939,0.103715108,0.088940249,0.106112623
,08.12.2002,0.119835494,0.103174601,0.088591325,0.105871419
,09.12.2002,0.119319141,0.102754978,0.088243214,0.105608653
,10.12.2002,0.118753709,0.102280861,0.08788154,0.105330383
,11.12.2002,0.118896343,0.101944368,0.087529707,0.105026774
,12.12.2002,0.119487096,0.10202941,0.087302167,0.104763269
,13.12.2002,0.11910848,0.101934503,0.087185855,0.104529813
,14.12.2002,0.119224327,0.101806036,0.087019602,0.104355922
,15.12.2002,0.119632222,0.101867289,0.086898155,0.104168384
,16.12.2002,0.120029342,0.101993807,0.086855317,0.1040323
,17.12.2002,0.120136081,0.102035338,0.086828549,0.103910109
,18.12.2002,0.120563435,0.102219419,0.086823199,0.103817544
,19.12.2002,0.119485608,0.102029463,0.086824983,0.103746672
,20.12.2002,0.117908494,0.101378065,0.086632436,0.10364239
,21.12.2002,0.117124431,0.100593547,0.086239199,0.1034517
,22.12.2002,0.116617096,0.100154746,0.085861153,0.103184685
,23.12.2002,0.116213205,0.099705364,0.085501791,0.102900452
,24.12.2002,0.11496652,0.099202899,0.085180384,0.102616681
,25.12.2002,0.113426709,0.09833573,0.084733062,0.102290447
,26.12.2002,0.11209273,0.09738257,0.084185488,0.101910296
,27.12.2002,0.111486243,0.096551546,0.083554537,0.101463006
,28.12.2002,0.112913144,0.096453876,0.083060065,0.101012981
,29.12.2002,0.114292413,0.096888703,0.082874217,0.100631761
,30.12.2002,0.115935988,0.09753452,0.082922823,0.100398041
,31.12.2002,0.116262796,0.098134366,0.083150433,0.100291912
,01.01.2003,0.11687093,0.09834325,0.083294824,0.100268765
,02.01.2003,0.117059896,0.098753993,0.083455061,0.100268765
,03.01.2003,0.117413883,0.098808313,0.083575347,0.100288053
,04.01.2003,0.11954337,0.099481348,0.083727201,0.100295768
,05.01.2003,0.120256375,0.100260438,0.084083864,0.10038067
,06.01.2003,0.120831803,0.100750493,0.084413326,0.100519677
,07.01.2003,0.120468433,0.100982285,0.084718927,0.100674273
,08.01.2003,0.120986023,0.101029475,0.084854374,0.100805779
