@T,C2,,,,
descr,observed soil water content at probe C2 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1585,,,
x,,513546,,,
y,,4494889,,,
,22.10.2002,0.104638515,0.151027076,0.110336923,0.121932085
,23.10.2002,0.102872902,0.148253359,0.109684026,0.12155383
,24.10.2002,0.10805009,0.145968923,0.108581787,0.120898977
,25.10.2002,0.117261325,0.145594489,0.107527205,0.120064668
,26.10.2002,0.121227372,0.146003832,0.106939195,0.11936192
,27.10.2002,0.124437752,0.14659916,0.106663627,0.118806072
,28.10.2002,0.125617536,0.14709937,0.106592838,0.118418959
,29.10.2002,0.126370292,0.147068804,0.106502436,0.118136949
,30.10.2002,0.124713443,0.146346075,0.106292348,0.117878285
,31.10.2002,0.123168971,0.144901816,0.105810284,0.117532545
,01.11.2002,0.122384428,0.1434867,0.105120783,0.117069049
,02.11.2002,0.122072849,0.14248095,0.10442225,0.11648861
,03.11.2002,0.121668304,0.141674858,0.103796125,0.115901611
,04.11.2002,0.121161247,0.14091276,0.103212752,0.115322553
,05.11.2002,0.120635166,0.14016224,0.102658257,0.114757534
,06.11.2002,0.120217285,0.139448259,0.102118952,0.114216674
,07.11.2002,0.120170921,0.13894087,0.101621443,0.11369569
,08.11.2002,0.120453681,0.13860247,0.101195887,0.113194439
,09.11.2002,0.121806465,0.138850006,0.100914023,0.112759453
,10.11.2002,0.121733387,0.139115898,0.100817002,0.112418658
,11.11.2002,0.121341747,0.138911322,0.100691552,0.11214931
,12.11.2002,0.120431448,0.138423346,0.100473183,0.111890469
,13.11.2002,0.120138786,0.137786995,0.10013384,0.111589599
,14.11.2002,0.121307228,0.137768877,0.099832951,0.111254968
,15.11.2002,0.121595299,0.138090171,0.099725217,0.110965161
,16.11.2002,0.120835713,0.137949861,0.099653445,0.11075815
,17.11.2002,0.120518105,0.13745254,0.099443963,0.11053933
,18.11.2002,0.121631778,0.137520293,0.099240373,0.11029673
,19.11.2002,0.122005854,0.137827663,0.099193278,0.11008245
,20.11.2002,0.12283136,0.138183045,0.099208348,0.109936407
,21.11.2002,0.123483974,0.138602488,0.099304433,0.10983844
,22.11.2002,0.124130492,0.139054526,0.099419437,0.109798471
,23.11.2002,0.124982977,0.139605462,0.09959303,0.109792477
,24.11.2002,0.123768046,0.139735363,0.099791358,0.109838438
,25.11.2002,0.121748047,0.138850178,0.099730899,0.109854428
,26.11.2002,0.119922079,0.137683238,0.099393075,0.109748529
,27.11.2002,0.117786882,0.136248038,0.098849098,0.109502981
,28.11.2002,0.116867979,0.134895104,0.098164562,0.109116373
,29.11.2002,0.117346639,0.134194843,0.097531238,0.108647123
,30.11.2002,0.118198979,0.134286123,0.097153136,0.10821076
,01.12.2002,0.118017545,0.134208191,0.096943079,0.10786045
,02.12.2002,0.119187678,0.134344055,0.096775958,0.107581873
,03.12.2002,0.119535323,0.13481231,0.096781525,0.107372726
,04.12.2002,0.118434703,0.13456916,0.096764824,0.107244597
,05.12.2002,0.11786986,0.134050227,0.096575669,0.107087033
,06.12.2002,0.120216425,0.13470354,0.0964182,0.106882427
,07.12.2002,0.122584432,0.13557929,0.096236834,0.106603386
,08.12.2002,0.122089137,0.134901645,0.095919016,0.106346363
,09.12.2002,0.121635948,0.134384176,0.09558339,0.106072088
,10.12.2002,0.121224082,0.133823442,0.095255832,0.105780653
,11.12.2002,0.121548703,0.133434822,0.094936266,0.105474083
,12.12.2002,0.122190943,0.133503604,0.094707073,0.105183616
,13.12.2002,0.121834987,0.133386025,0.09457522,0.104940301
