@T,D3,,,,
descr,observed soil water content at probe D3 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1577,,,
x,,513654,,,
y,,4495048,,,
,04.10.2002,0.119030221,0.253362848,0.230409179,0.146332925
,05.10.2002,0.103227747,0.253349961,0.228807798,0.146190685
,06.10.2002,0.090980218,0.253469457,0.228002455,0.145983111
,07.10.2002,0.085795896,0.252880658,0.227335115,0.145775719
,08.10.2002,0.110337772,0.254082941,0.227027893,0.145550489
,09.10.2002,0.138750412,0.255991726,0.227294494,0.145359204
,10.10.2002,0.141521988,0.256073276,0.227491628,0.145222014
,11.10.2002,0.144374894,0.25622979,0.227480021,0.145096146
,12.10.2002,0.145432748,0.256523555,0.227572838,0.145013016
,13.10.2002,0.143797355,0.254969872,0.227352489,0.144938903
,14.10.2002,0.144242763,0.253262024,0.226475123,0.144869295
,15.10.2002,0.143912267,0.251977958,0.225573759,0.144748103
,16.10.2002,0.143943845,0.250636355,0.224637125,0.144609024
,17.10.2002,0.143043835,0.249212789,0.223711442,0.144436407
,18.10.2002,-9999,-9999,-9999,-9999
,19.10.2002,-9999,-9999,-9999,-9999
,20.10.2002,-9999,-9999,-9999,-9999
,21.10.2002,-9999,-9999,-9999,-9999
,22.10.2002,0.144252045,0.246567472,0.220745595,0.143463533
,23.10.2002,0.141079863,0.244323399,0.219948982,0.143302889
,24.10.2002,0.138813089,0.241306279,0.218488198,0.143133433
,25.10.2002,0.138799774,0.239061488,0.21681876,0.142910651
,26.10.2002,0.140075672,0.238607662,0.215591854,0.142634668
,27.10.2002,0.142015371,0.2388829,0.214923938,0.14236125
,28.10.2002,0.141466397,0.239108268,0.214680094,0.142059277
,29.10.2002,0.141060458,0.238679588,0.214307675,0.141777639
,30.10.2002,0.137997759,0.236901763,0.213726096,0.141580465
,31.10.2002,0.13607061,0.234422043,0.212490521,0.1413724
