@T,climate ,,,,,
,22.12.2001,-9999,-9999,64.625,-9999,65.55
,23.12.2001,-9999,-9999,71.13333333,-9999,69.45
,24.12.2001,-9999,-9999,51.63333333,-9999,60.6
,25.12.2001,-9999,-9999,31.79166667,-9999,36.3
,26.12.2001,-9999,-9999,38.75,-9999,47.05
,27.12.2001,-9999,-9999,44.85833333,-9999,51.75
,28.12.2001,-9999,-9999,61.79166667,-9999,65.25
,29.12.2001,-9999,-9999,78.95,-9999,75.35
,30.12.2001,-9999,-9999,85.1,-9999,80.85
,31.12.2001,-9999,-9999,82.06666667,-9999,-9999
,01.01.2002,-9999,-9999,90.56666667,-9999,-9999
,02.01.2002,-9999,-9999,79.94166667,-9999,78.75
,03.01.2002,-9999,-9999,50.975,-9999,64.3
,04.01.2002,-9999,-9999,63.53333333,-9999,74.6
,05.01.2002,-9999,-9999,61.94166667,-9999,66.8
,06.01.2002,-9999,-9999,56.23333333,-9999,63.65
,07.01.2002,-9999,-9999,48.86666667,-9999,59.7
,08.01.2002,-9999,-9999,29.38333333,-9999,48.85
,09.01.2002,-9999,-9999,64.775,-9999,71.75
,10.01.2002,-9999,-9999,92.925,-9999,93.05
,11.01.2002,-9999,-9999,62.25833333,-9999,64.8
,12.01.2002,-9999,-9999,62.85,-9999,68.5
,13.01.2002,-9999,-9999,43.59166667,-9999,50.35
,14.01.2002,-9999,-9999,62.375,-9999,65.45
,15.01.2002,-9999,-9999,86.85,-9999,84.4
,16.01.2002,-9999,-9999,80.91666667,-9999,74.6
,17.01.2002,-9999,-9999,68.08333333,-9999,66.85
,18.01.2002,-9999,-9999,58.01666667,-9999,54.25
,19.01.2002,-9999,-9999,41.55833333,-9999,50.85
,20.01.2002,-9999,-9999,32.34166667,-9999,36.9
,21.01.2002,-9999,-9999,39.15,-9999,45.75
,22.01.2002,-9999,-9999,51.76666667,-9999,62.2
,23.01.2002,-9999,-9999,82.93333333,-9999,76.55
,24.01.2002,-9999,-9999,53.39166667,-9999,61.3
,25.01.2002,-9999,-9999,45.43333333,-9999,57.75
,26.01.2002,-9999,-9999,33.125,-9999,53.5
,27.01.2002,-9999,-9999,28.64166667,-9999,51.45
,28.01.2002,-9999,-9999,88.48333333,-9999,80.4
,29.01.2002,-9999,-9999,83.51666667,-9999,73.45
,30.01.2002,-9999,-9999,83.11666667,-9999,75.45
,31.01.2002,-9999,-9999,50.54166667,-9999,61.85
,01.02.2002,-9999,-9999,52.675,-9999,59.25
,02.02.2002,-9999,-9999,48.95,-9999,59.9
,03.02.2002,-9999,-9999,50.25833333,-9999,61.1
,04.02.2002,-9999,-9999,45.6,-9999,53.45
,05.02.2002,-9999,-9999,50.725,-9999,57.85
,06.02.2002,-9999,-9999,33.34166667,-9999,50.05
,07.02.2002,-9999,-9999,30.71666667,-9999,47.25
,08.02.2002,-9999,-9999,34.275,-9999,42.55
,09.02.2002,-9999,-9999,55.25833333,-9999,55.55
,10.02.2002,-9999,-9999,31.35833333,-9999,43.15
,11.02.2002,-9999,-9999,25.24166667,-9999,37.9
,12.02.2002,-9999,-9999,64.98333333,-9999,59.05
,13.02.2002,-9999,-9999,48.31666667,-9999,53
,14.02.2002,-9999,-9999,45.85833333,-9999,52.5
,15.02.2002,-9999,-9999,40.55,-9999,49.4
,16.02.2002,-9999,-9999,25.525,-9999,38.35
,17.02.2002,-9999,-9999,27.33333333,-9999,35.6
,18.02.2002,-9999,-9999,51.18333333,-9999,53.9
,19.02.2002,-9999,-9999,47.325,-9999,52.9
,20.02.2002,-9999,-9999,49.23333333,-9999,60.6
,21.02.2002,-9999,-9999,42.63333333,-9999,51.5
,22.02.2002,-9999,-9999,23.55833333,-9999,35.8
,23.02.2002,-9999,-9999,21.68333333,-9999,29.55
,24.02.2002,-9999,-9999,73,-9999,67.3
,25.02.2002,-9999,-9999,76.10833333,-9999,74.6
,26.02.2002,-9999,-9999,56.975,-9999,64.05
,27.02.2002,-9999,-9999,56.63333333,-9999,59.25
,28.02.2002,-9999,-9999,73.26666667,-9999,65.35
,01.03.2002,-9999,-9999,85.15833333,-9999,87.8
,02.03.2002,-9999,-9999,70.30833333,-9999,71.85
,03.03.2002,-9999,-9999,59.125,-9999,65.9
,04.03.2002,-9999,-9999,52.6,-9999,60.85
,05.03.2002,-9999,-9999,44.14166667,-9999,62.7
,06.03.2002,-9999,-9999,66.26666667,-9999,76.8
,07.03.2002,-9999,-9999,71.18333333,-9999,64.9
,08.03.2002,-9999,-9999,83.08333333,-9999,78.5
,09.03.2002,-9999,-9999,55.74166667,-9999,64.6
,10.03.2002,-9999,-9999,53.85,-9999,62.5
,11.03.2002,-9999,-9999,36,-9999,47.2
,12.03.2002,-9999,-9999,34.61666667,-9999,47.45
,13.03.2002,-9999,-9999,65.85833333,-9999,74.9
,14.03.2002,-9999,-9999,89.46666667,-9999,85.35
,15.03.2002,-9999,-9999,85.83333333,-9999,77.05
,16.03.2002,-9999,-9999,77.025,-9999,73.05
,17.03.2002,-9999,-9999,68.7,-9999,60.1
,18.03.2002,-9999,-9999,78.64166667,-9999,71.05
,19.03.2002,-9999,-9999,65.8,-9999,64.15
,20.03.2002,-9999,-9999,49.325,-9999,53.6
,21.03.2002,-9999,-9999,71.7,-9999,68.75
,22.03.2002,-9999,-9999,51.19166667,-9999,55.8
,23.03.2002,-9999,-9999,44.4,-9999,47.7
,24.03.2002,-9999,-9999,90.6,-9999,85.2
,25.03.2002,-9999,-9999,95.58333333,-9999,85.9
,26.03.2002,-9999,-9999,54.75833333,-9999,61.2
,27.03.2002,-9999,-9999,39.075,-9999,47.95
,28.03.2002,-9999,-9999,46.45,-9999,55.25
,29.03.2002,-9999,-9999,61.425,-9999,64.05
,30.03.2002,-9999,-9999,57.95,-9999,61.35
,31.03.2002,-9999,-9999,58.05833333,-9999,60.75
,01.04.2002,-9999,-9999,29.05,-9999,45.6
,02.04.2002,-9999,-9999,64.19166667,-9999,64.85
,03.04.2002,-9999,-9999,44.88333333,-9999,45.65
,04.04.2002,-9999,-9999,39.78333333,-9999,45.65
,05.04.2002,-9999,-9999,36.56666667,-9999,46.05
,06.04.2002,-9999,-9999,41.36666667,-9999,50.75
,07.04.2002,-9999,-9999,48.88333333,-9999,58.35
,08.04.2002,-9999,-9999,79.4,-9999,80.05
,09.04.2002,-9999,-9999,50.98333333,-9999,59.55
,10.04.2002,-9999,-9999,39.675,-9999,47.1
,11.04.2002,-9999,-9999,46.2,-9999,55.8
,12.04.2002,-9999,-9999,47.725,-9999,56.05
,13.04.2002,-9999,-9999,32.15,-9999,41.1
,14.04.2002,-9999,-9999,23.81666667,-9999,36.25
,15.04.2002,-9999,-9999,21.00833333,-9999,32.35
,16.04.2002,-9999,-9999,31.01666667,-9999,37.9
,17.04.2002,-9999,-9999,38.375,-9999,48.4
,18.04.2002,-9999,-9999,51.66666667,-9999,49.7
,19.04.2002,-9999,-9999,69.9,-9999,68.5
,20.04.2002,-9999,-9999,91.25833333,-9999,83.25
,21.04.2002,-9999,-9999,60.05,-9999,62.45
,22.04.2002,-9999,-9999,29.4,-9999,44.15
,23.04.2002,-9999,-9999,24.06666667,-9999,40.75
,24.04.2002,-9999,-9999,46.975,-9999,51.75
,25.04.2002,-9999,-9999,39.89166667,-9999,46.95
,26.04.2002,-9999,-9999,63.1,-9999,69.55
,27.04.2002,-9999,-9999,74.15833333,-9999,66.55
,28.04.2002,-9999,-9999,57.85,-9999,65.05
,29.04.2002,-9999,-9999,42.10833333,-9999,55.3
,30.04.2002,-9999,-9999,52.75833333,-9999,57.8
,01.05.2002,-9999,-9999,86.09166667,-9999,85
,02.05.2002,-9999,-9999,71,-9999,67.1
,03.05.2002,-9999,-9999,34.58333333,-9999,51.35
,04.05.2002,-9999,-9999,54.96666667,-9999,58.9
,05.05.2002,-9999,-9999,36.00833333,-9999,49.2
,06.05.2002,-9999,-9999,31.725,-9999,48.85
,07.05.2002,-9999,-9999,81.375,-9999,77.25
,08.05.2002,-9999,-9999,42.21666667,-9999,56.6
,09.05.2002,-9999,-9999,39.66666667,-9999,48.75
,10.05.2002,-9999,-9999,47.95833333,-9999,64.15
,11.05.2002,-9999,-9999,75.59166667,-9999,71.8
,12.05.2002,-9999,-9999,68.825,-9999,72.25
,13.05.2002,-9999,-9999,42.53333333,-9999,57.95
,14.05.2002,-9999,-9999,42.325,-9999,49.9
,15.05.2002,-9999,-9999,45.975,-9999,56.35
,16.05.2002,-9999,-9999,89.575,-9999,84.25
,17.05.2002,-9999,-9999,86.525,-9999,78.65
,18.05.2002,-9999,-9999,71.23333333,-9999,69.5
,19.05.2002,-9999,-9999,68.75833333,-9999,70.2
,20.05.2002,-9999,-9999,81.375,-9999,77.3
,21.05.2002,-9999,-9999,53.56666667,-9999,55.45
,22.05.2002,-9999,-9999,21.5,-9999,30.6
,23.05.2002,-9999,-9999,57.94166667,-9999,68.35
,24.05.2002,-9999,-9999,94.74166667,-9999,89.5
,25.05.2002,-9999,-9999,60.6,-9999,66.35
,26.05.2002,-9999,-9999,34.3,-9999,58.25
,27.05.2002,-9999,-9999,44.70833333,-9999,55.8
,28.05.2002,-9999,-9999,34.58333333,-9999,54.25
,29.05.2002,-9999,-9999,32,-9999,50.2
,30.05.2002,-9999,-9999,36.40833333,-9999,51.85
,31.05.2002,-9999,-9999,30.11666667,-9999,48.3
,01.06.2002,-9999,-9999,41.73333333,-9999,48.55
,02.06.2002,-9999,-9999,29.50833333,-9999,41.3
,03.06.2002,-9999,-9999,69.86666667,-9999,70.2
,04.06.2002,-9999,-9999,87.7,-9999,82.65
,05.06.2002,-9999,-9999,69.14166667,-9999,68.55
,06.06.2002,-9999,-9999,42.13333333,-9999,58.85
,07.06.2002,-9999,-9999,37.66666667,-9999,53.2
,08.06.2002,-9999,-9999,52.6,-9999,51.9
,09.06.2002,-9999,-9999,33.91666667,-9999,44.85
,10.06.2002,-9999,-9999,33.10833333,-9999,48.4
,11.06.2002,-9999,-9999,36.08333333,-9999,49.9
,12.06.2002,-9999,-9999,31.35833333,-9999,41.9
,13.06.2002,-9999,-9999,49.58333333,-9999,52.25
,14.06.2002,-9999,-9999,43.36666667,-9999,49.75
,15.06.2002,-9999,-9999,59.43333333,-9999,60.4
,16.06.2002,-9999,-9999,62.025,-9999,61.65
,17.06.2002,-9999,-9999,29.5,-9999,52.85
,18.06.2002,-9999,-9999,19.38333333,-9999,33.55
,19.06.2002,-9999,-9999,51.175,-9999,62.05
,20.06.2002,-9999,-9999,72.95833333,-9999,68.95
,21.06.2002,-9999,-9999,46.48333333,-9999,57.5
,22.06.2002,-9999,-9999,48.30833333,-9999,59.1
,23.06.2002,-9999,-9999,28.95,-9999,40.35
,24.06.2002,-9999,-9999,25.1,-9999,45.15
,25.06.2002,-9999,-9999,41.625,-9999,52.55
,26.06.2002,-9999,-9999,43.375,-9999,58.95
,27.06.2002,-9999,-9999,34.76666667,-9999,52.25
,28.06.2002,-9999,-9999,34.96666667,-9999,54.75
,29.06.2002,-9999,-9999,29.45833333,-9999,49.65
,30.06.2002,-9999,-9999,20.675,-9999,46.05
,01.07.2002,-9999,-9999,19.925,-9999,47.65
,02.07.2002,-9999,-9999,24.18333333,-9999,48.2
,03.07.2002,-9999,-9999,50.73333333,-9999,62.75
,04.07.2002,-9999,-9999,58.58333333,-9999,64.95
,05.07.2002,-9999,-9999,61.79166667,-9999,67.95
,06.07.2002,-9999,-9999,75.675,-9999,78.15
,07.07.2002,-9999,-9999,62.6,-9999,69.5
,08.07.2002,-9999,-9999,51.23333333,-9999,68.1
,09.07.2002,-9999,-9999,36.36666667,-9999,60.65
,10.07.2002,-9999,-9999,57.24166667,-9999,73.6
,11.07.2002,-9999,-9999,52.33333333,-9999,63.6
,12.07.2002,-9999,-9999,43.58333333,-9999,58.6
,13.07.2002,-9999,-9999,38.44166667,-9999,59.65
,14.07.2002,-9999,-9999,35.46666667,-9999,55.3
,15.07.2002,-9999,-9999,43.19166667,-9999,57.75
,16.07.2002,-9999,-9999,36.61666667,-9999,53.3
,17.07.2002,-9999,-9999,31.56666667,-9999,52.95
,18.07.2002,-9999,-9999,26.48333333,-9999,51.45
,19.07.2002,-9999,-9999,29.475,-9999,51.6
,20.07.2002,-9999,-9999,33.99166667,-9999,49.95
,21.07.2002,-9999,-9999,55.50833333,-9999,70.85
,22.07.2002,-9999,-9999,63.35833333,-9999,69.7
,23.07.2002,-9999,-9999,55.04166667,-9999,64.7
,24.07.2002,-9999,-9999,34.10833333,-9999,55.25
,25.07.2002,-9999,-9999,44.75,-9999,58.7
,26.07.2002,-9999,-9999,49.64166667,-9999,63.15
,27.07.2002,-9999,-9999,28.375,-9999,53.55
,28.07.2002,-9999,-9999,32.44166667,-9999,52.5
,29.07.2002,-9999,-9999,21.84166667,-9999,45.6
,30.07.2002,-9999,-9999,16.83333333,-9999,42.75
,31.07.2002,-9999,-9999,14.525,-9999,42.3
,01.08.2002,-9999,-9999,34.20833333,-9999,49.5
,02.08.2002,-9999,-9999,39.225,-9999,53.65
,03.08.2002,-9999,-9999,56.59166667,-9999,65.85
,04.08.2002,-9999,-9999,52.90833333,-9999,62.7
,05.08.2002,-9999,-9999,68.44166667,-9999,71.2
,06.08.2002,-9999,-9999,62.525,-9999,66.05
,07.08.2002,-9999,-9999,58.40833333,-9999,65.4
,08.08.2002,-9999,-9999,53.1,-9999,61.45
,09.08.2002,-9999,-9999,51.21666667,-9999,62.45
,10.08.2002,-9999,-9999,39.69166667,-9999,50.55
,11.08.2002,-9999,-9999,18.925,-9999,50.65
,12.08.2002,-9999,-9999,59.93333333,-9999,72.95
,13.08.2002,-9999,-9999,57.16666667,-9999,66.45
,14.08.2002,-9999,-9999,29.14166667,-9999,58.2
,15.08.2002,-9999,-9999,52.6,-9999,53.9
,16.08.2002,-9999,-9999,36.55,-9999,53.8
,17.08.2002,-9999,-9999,33.09166667,-9999,52.15
,18.08.2002,-9999,-9999,31.35833333,-9999,50.25
,19.08.2002,-9999,-9999,48.01666667,-9999,64.35
,20.08.2002,-9999,-9999,56.16666667,-9999,66.95
,21.08.2002,-9999,-9999,46.35,-9999,61.45
,22.08.2002,-9999,-9999,56.775,-9999,67.3
,23.08.2002,-9999,-9999,46.68333333,-9999,57.25
,24.08.2002,-9999,-9999,68.60833333,-9999,71.9
,25.08.2002,-9999,-9999,54.2,-9999,56.35
,26.08.2002,-9999,-9999,45.75833333,-9999,53.95
,27.08.2002,-9999,-9999,76.09166667,-9999,73.45
,28.08.2002,-9999,-9999,79.70833333,-9999,80.9
,29.08.2002,-9999,-9999,79.575,-9999,74.05
,30.08.2002,-9999,-9999,59.75,-9999,64.65
,31.08.2002,-9999,-9999,47.35,-9999,57.95
,01.09.2002,-9999,-9999,26.625,-9999,53.75
,02.09.2002,-9999,-9999,34.41666667,-9999,48.35
,03.09.2002,-9999,-9999,47.025,-9999,62.55
,04.09.2002,-9999,-9999,35.21666667,-9999,55.45
,05.09.2002,-9999,-9999,23.90833333,-9999,48.05
,06.09.2002,-9999,-9999,31.45833333,-9999,48.05
,07.09.2002,-9999,-9999,42.05833333,-9999,51.1
,08.09.2002,-9999,-9999,57.15833333,-9999,64.2
,09.09.2002,-9999,-9999,80.15,-9999,74.55
,10.09.2002,-9999,-9999,88.5,-9999,83.1
,11.09.2002,-9999,-9999,84.4,-9999,77.3
,12.09.2002,-9999,-9999,82.73333333,-9999,78.75
,13.09.2002,-9999,-9999,80.28333333,-9999,79.7
,14.09.2002,-9999,-9999,49.90833333,-9999,59.6
,15.09.2002,-9999,-9999,46.86666667,-9999,57.4
,16.09.2002,-9999,-9999,40.05,-9999,55
,17.09.2002,-9999,-9999,43.99166667,-9999,57.5
,18.09.2002,-9999,-9999,52.13333333,-9999,61.35
,19.09.2002,-9999,-9999,53.78333333,-9999,61
,20.09.2002,-9999,-9999,42.375,-9999,55.15
,21.09.2002,-9999,-9999,65.70833333,-9999,65.8
,22.09.2002,-9999,-9999,55.95,-9999,57.3
,23.09.2002,-9999,-9999,46.70833333,-9999,57.1
,24.09.2002,-9999,-9999,45.64166667,-9999,56.85
,25.09.2002,-9999,-9999,70.33333333,-9999,75.9
,26.09.2002,-9999,-9999,84.63333333,-9999,83.15
,27.09.2002,-9999,-9999,64.76666667,-9999,65.85
,28.09.2002,-9999,-9999,67.95,-9999,72.85
,29.09.2002,-9999,-9999,59.05,-9999,64.25
,30.09.2002,-9999,-9999,30.60833333,-9999,45.45
,01.10.2002,-9999,-9999,63.65,-9999,69.7
,02.10.2002,-9999,-9999,97.11666667,-9999,93.05
,03.10.2002,-9999,-9999,89.49166667,-9999,81.55
,04.10.2002,-9999,-9999,63.95,-9999,67.7
,05.10.2002,-9999,-9999,55.21666667,-9999,65.3
,06.10.2002,-9999,-9999,69.50833333,-9999,72.15
,07.10.2002,-9999,-9999,55.025,-9999,64.05
,08.10.2002,-9999,-9999,51.25,-9999,57.85
,09.10.2002,-9999,-9999,66.69166667,-9999,65.45
,10.10.2002,-9999,-9999,31.15,-9999,48
,11.10.2002,-9999,-9999,34.38333333,-9999,47.65
,12.10.2002,-9999,-9999,69.925,-9999,69.4
,13.10.2002,-9999,-9999,50.65,-9999,60.3
,14.10.2002,-9999,-9999,36.10833333,-9999,52.15
,15.10.2002,-9999,-9999,40.775,-9999,51.95
,16.10.2002,-9999,-9999,44.45833333,-9999,57.75
,17.10.2002,-9999,-9999,43.46666667,-9999,52.8
,18.10.2002,-9999,-9999,29.475,-9999,41.7
,19.10.2002,-9999,-9999,50.29166667,-9999,57.2
,20.10.2002,-9999,-9999,25.60833333,-9999,43.6
,21.10.2002,-9999,-9999,57.03333333,-9999,68.1
,22.10.2002,-9999,-9999,90.59166667,-9999,89.45
,23.10.2002,-9999,-9999,99,-9999,100
,24.10.2002,-9999,-9999,99,-9999,100
,25.10.2002,-9999,-9999,76.23333333,-9999,70.95
,26.10.2002,-9999,-9999,71.06666667,-9999,68
,27.10.2002,-9999,-9999,95.76666667,-9999,91.9
,28.10.2002,-9999,-9999,76.68333333,-9999,70.1
,29.10.2002,-9999,-9999,96.24166667,-9999,95.1
,30.10.2002,-9999,-9999,93.325,-9999,89.85
,31.10.2002,-9999,-9999,99,-9999,96.95
,01.11.2002,-9999,-9999,99,-9999,97.15
,02.11.2002,-9999,-9999,98.93333333,-9999,85.9
,03.11.2002,-9999,-9999,76.475,-9999,74.55
,04.11.2002,-9999,-9999,76.35,-9999,75.1
,05.11.2002,-9999,-9999,65.925,-9999,69.95
,06.11.2002,-9999,-9999,65.61666667,-9999,70.65
,07.11.2002,-9999,-9999,50.19166667,-9999,68.95
,08.11.2002,-9999,-9999,50.79166667,-9999,62.75
,09.11.2002,-9999,-9999,58.275,-9999,67.65
,10.11.2002,-9999,-9999,41.60833333,-9999,46.25
,11.11.2002,-9999,-9999,58.73333333,-9999,68.9
,12.11.2002,-9999,-9999,54.44166667,-9999,63.05
,13.11.2002,-9999,-9999,55.55,-9999,71.55
,14.11.2002,-9999,-9999,74.96666667,-9999,70.4
,15.11.2002,-9999,-9999,65.975,-9999,68.5
,16.11.2002,-9999,-9999,56.875,-9999,64.05
,17.11.2002,-9999,-9999,31.35833333,-9999,51.7
,18.11.2002,-9999,-9999,45.79166667,-9999,54.65
,19.11.2002,-9999,-9999,33.03333333,-9999,46.1
,20.11.2002,-9999,-9999,48.95833333,-9999,57.6
,21.11.2002,-9999,-9999,55.29166667,-9999,62.65
,22.11.2002,-9999,-9999,45.18333333,-9999,56.95
,23.11.2002,-9999,-9999,69.95,-9999,73.95
,24.11.2002,-9999,-9999,96.225,-9999,81.5
,25.11.2002,-9999,-9999,90.15,-9999,79.1
,26.11.2002,-9999,-9999,88.075,-9999,80.3
,27.11.2002,-9999,-9999,73.4,-9999,73.25
,28.11.2002,-9999,-9999,66.85,-9999,73.35
,29.11.2002,-9999,-9999,61.475,-9999,70.2
,30.11.2002,-9999,-9999,67.43333333,-9999,69.8
,01.12.2002,-9999,-9999,61.21666667,-9999,70.35
,02.12.2002,-9999,-9999,60.53333333,-9999,67.2
,03.12.2002,-9999,-9999,97.83333333,-9999,95.9
,04.12.2002,-9999,-9999,98.3,-9999,94.8
,05.12.2002,-9999,-9999,83.04166667,-9999,78.75
,06.12.2002,-9999,-9999,58.875,-9999,65.9
,07.12.2002,-9999,-9999,61.275,-9999,69.35
,08.12.2002,-9999,-9999,69.94166667,-9999,73.1
,09.12.2002,-9999,-9999,57.95,-9999,66.9
,10.12.2002,-9999,-9999,32.75833333,-9999,54.25
,11.12.2002,-9999,-9999,42.51666667,-9999,-9999
,12.12.2002,-9999,-9999,52.81666667,-9999,-9999
,13.12.2002,-9999,-9999,42.825,-9999,-9999
,14.12.2002,-9999,-9999,46.26666667,-9999,-9999
,15.12.2002,-9999,-9999,47.93333333,-9999,-9999
,16.12.2002,-9999,-9999,51.16666667,-9999,-9999
,17.12.2002,-9999,-9999,54.36666667,-9999,-9999
,18.12.2002,-9999,-9999,73.00833333,-9999,-9999
,19.12.2002,-9999,-9999,46.15833333,-9999,-9999
,20.12.2002,-9999,-9999,48.60833333,-9999,-9999
,21.12.2002,-9999,-9999,56.89166667,-9999,-9999
,22.12.2002,-9999,-9999,67.15833333,-9999,-9999
,23.12.2002,-9999,-9999,74.41666667,-9999,-9999
,24.12.2002,-9999,-9999,84.725,-9999,-9999
,25.12.2002,-9999,-9999,71.2,-9999,-9999
,26.12.2002,-9999,-9999,52.65833333,-9999,-9999
,27.12.2002,-9999,-9999,39.775,-9999,-9999
,28.12.2002,-9999,-9999,46.98333333,-9999,-9999
,29.12.2002,-9999,-9999,36.7,-9999,-9999
,30.12.2002,-9999,-9999,37.725,-9999,-9999
,31.12.2002,-9999,-9999,44.85,-9999,-9999
,01.01.2003,-9999,-9999,61.06666667,-9999,-9999
,02.01.2003,-9999,-9999,52.70833333,-9999,-9999
,03.01.2003,-9999,-9999,42.6,-9999,-9999
,04.01.2003,-9999,-9999,60.78333333,-9999,-9999
,05.01.2003,-9999,-9999,62.9,-9999,-9999
,06.01.2003,-9999,-9999,77.23333333,-9999,-9999
,07.01.2003,-9999,-9999,38.64166667,-9999,-9999
,08.01.2003,-9999,-9999,28.9,-9999,-9999
,09.01.2003,-9999,-9999,47.69166667,-9999,-9999
,10.01.2003,-9999,-9999,65.6,-9999,-9999
,11.01.2003,-9999,-9999,63.23333333,-9999,-9999
,12.01.2003,-9999,-9999,62.33333333,-9999,-9999
,13.01.2003,-9999,-9999,49.55833333,-9999,-9999
,14.01.2003,-9999,-9999,72.425,-9999,-9999
,15.01.2003,-9999,-9999,70.43333333,-9999,-9999
,16.01.2003,-9999,-9999,51.35833333,-9999,-9999
,17.01.2003,-9999,-9999,72.34166667,-9999,-9999
,18.01.2003,-9999,-9999,58.35,-9999,-9999
,19.01.2003,-9999,-9999,30.71666667,-9999,-9999
,20.01.2003,-9999,-9999,26.125,-9999,-9999
,21.01.2003,-9999,-9999,83.76666667,-9999,-9999
,22.01.2003,-9999,-9999,99,-9999,-9999
,23.01.2003,-9999,-9999,87.025,-9999,-9999
,24.01.2003,-9999,-9999,79.55833333,-9999,-9999
,25.01.2003,-9999,-9999,51.85833333,-9999,-9999
,26.01.2003,-9999,-9999,58.13333333,-9999,-9999
,27.01.2003,-9999,-9999,38.95833333,-9999,-9999
,28.01.2003,-9999,-9999,74.35,-9999,-9999
,29.01.2003,-9999,-9999,76.05833333,-9999,-9999
,30.01.2003,-9999,-9999,55.69166667,-9999,-9999
,31.01.2003,-9999,-9999,61.48333333,-9999,-9999
,01.02.2003,-9999,-9999,24.95,-9999,-9999
,02.02.2003,-9999,-9999,71.03333333,-9999,-9999
,03.02.2003,-9999,-9999,74.65833333,-9999,-9999
,04.02.2003,-9999,-9999,74.425,-9999,-9999
,05.02.2003,-9999,-9999,90.725,-9999,-9999
,06.02.2003,-9999,-9999,81.76666667,-9999,-9999
,07.02.2003,-9999,-9999,69.01666667,-9999,-9999
,08.02.2003,-9999,-9999,61.85,-9999,-9999
,09.02.2003,-9999,-9999,78.51666667,-9999,-9999
,10.02.2003,-9999,-9999,52.39166667,-9999,-9999
,11.02.2003,-9999,-9999,73.34166667,-9999,-9999
,12.02.2003,-9999,-9999,60.39166667,-9999,-9999
,13.02.2003,-9999,-9999,62.325,-9999,-9999
,14.02.2003,-9999,-9999,67.91666667,-9999,-9999
,15.02.2003,-9999,-9999,90.15833333,-9999,-9999
,16.02.2003,-9999,-9999,82.30833333,-9999,-9999
,17.02.2003,-9999,-9999,31.96666667,-9999,-9999
,18.02.2003,-9999,-9999,52.49166667,-9999,-9999
,19.02.2003,-9999,-9999,69.85833333,-9999,-9999
,20.02.2003,-9999,-9999,42.99166667,-9999,-9999
,21.02.2003,-9999,-9999,49.93333333,-9999,-9999
,22.02.2003,-9999,-9999,75.76666667,-9999,67.8
,23.02.2003,-9999,-9999,89.35,-9999,91.3
,24.02.2003,-9999,-9999,83.99166667,-9999,66.9
,25.02.2003,-9999,-9999,85.44166667,-9999,63.3
,26.02.2003,-9999,-9999,89.55,-9999,77.1
,27.02.2003,-9999,-9999,96.34166667,-9999,90.45
,28.02.2003,-9999,-9999,95.125,-9999,91.65
,01.03.2003,-9999,-9999,80.45833333,-9999,77.95
,02.03.2003,-9999,-9999,70.61666667,-9999,70.75
,03.03.2003,-9999,-9999,49.64166667,-9999,57.35
,04.03.2003,-9999,-9999,90.79166667,-9999,82.05
