@T,climate ,,,,,
descr,relative humidity ,,,,,
unit,% ,,,,,
 missing_value,-9999,,,,,
 date_start,21.11.2001 ,,,,,
 date_end,31.01.2020,,,,,
 date_format,dd.MM.yyyy ,,,,,
,,,,,,
@H,date,rehum[0],rehum[1],rehum[2],rehum[3],rehum[4]
name,-,EnergyTower1,EnergyTower2,METOS,Vaisala,COAGMETAult
ID,-,1,2,3,4,5
elevation,-,1584.435,1584.867,1571,1571,1497
x,-,513609.867,513537.822,512615,512615,523701
y,-,4494845.169,4494881.429,4495505,4495505,4490951
,21.11.2001,-9999,-9999,30.55,-9999,59.75
,22.11.2001,-9999,-9999,50.1,-9999,63.4
,23.11.2001,-9999,-9999,73.68333333,-9999,79
,24.11.2001,-9999,-9999,54.68333333,-9999,54.3
,25.11.2001,-9999,-9999,91.60833333,-9999,91.8
,26.11.2001,-9999,-9999,89.20833333,-9999,89.45
,27.11.2001,-9999,-9999,86.625,-9999,78.25
,28.11.2001,-9999,-9999,87.00833333,-9999,78.5
,29.11.2001,-9999,-9999,84.21666667,-9999,84.7
,30.11.2001,-9999,-9999,61.14166667,-9999,69.2
,01.12.2001,-9999,-9999,63.23333333,-9999,69
,02.12.2001,-9999,-9999,60.53333333,-9999,64.8
,03.12.2001,-9999,-9999,52.80833333,-9999,60.55
,04.12.2001,-9999,-9999,60.63333333,-9999,73
,05.12.2001,-9999,-9999,33.69166667,-9999,40.55
,06.12.2001,-9999,-9999,41.65,-9999,52.15
,07.12.2001,-9999,-9999,48.875,-9999,56.45
,08.12.2001,-9999,-9999,48.175,-9999,57.75
,09.12.2001,-9999,-9999,45.1,-9999,59.1
,10.12.2001,-9999,-9999,66.74166667,-9999,72.9
,11.12.2001,-9999,-9999,68.075,-9999,60.45
,12.12.2001,-9999,-9999,81.99166667,-9999,79.15
,13.12.2001,-9999,-9999,73.78333333,-9999,71.2
,14.12.2001,-9999,-9999,60.76666667,-9999,69.25
,15.12.2001,-9999,-9999,62.01666667,-9999,72.15
,16.12.2001,-9999,-9999,80.45833333,-9999,85.2
,17.12.2001,-9999,-9999,48.64166667,-9999,63.1
,18.12.2001,-9999,-9999,67.61666667,-9999,61.45
,19.12.2001,-9999,-9999,65.05833333,-9999,63.4
,20.12.2001,-9999,-9999,65.71666667,-9999,72.65
,21.12.2001,-9999,-9999,64.8,-9999,59.45
