@T,C4,,,,
descr,observed soil water content at probe C4 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1578,,,
x,,513580,,,
y,,4495075,,,
,22.10.2002,0.104636089,0.142850742,0.088327986,0.121910158
,23.10.2002,0.102110015,0.139901137,0.087725996,0.121468138
,24.10.2002,0.104329912,0.137207173,0.086785076,0.120861158
,25.10.2002,0.110005952,0.136319101,0.085864061,0.120103318
,26.10.2002,0.110320426,0.136601556,0.08526488,0.119314558
,27.10.2002,0.114842815,0.137480936,0.084943573,0.118633964
,28.10.2002,0.113586233,0.13722976,0.084779736,0.118106705
,29.10.2002,0.134576787,0.136402818,0.084522166,0.117695965
,30.10.2002,0.221662473,0.13418598,0.084022349,0.117246401
,31.10.2002,0.26293964,0.132347513,0.083329265,0.116695802
,01.11.2002,0.274364477,0.130611078,0.082588147,0.116051216
,02.11.2002,0.277879896,0.129232681,0.081835565,0.115363239
,03.11.2002,0.267035645,0.127691291,0.081141388,0.11467769
,04.11.2002,0.256320574,0.12605712,0.080471002,0.113967884
,05.11.2002,0.263038465,0.125182678,0.079819038,0.11326069
,06.11.2002,0.26737757,0.124346638,0.079252196,0.112582607
,07.11.2002,0.268984988,0.123860488,0.078789438,0.111935403
,08.11.2002,0.271490319,0.12380207,0.078408092,0.111351152
,09.11.2002,0.262847455,0.124711928,0.078235241,0.110863646
,10.11.2002,0.252961048,0.124511828,0.078172158,0.110486252
,11.11.2002,0.246033203,0.124036198,0.07799967,0.110163972
,12.11.2002,0.240909343,0.123023553,0.077711578,0.10984025
,13.11.2002,0.242396961,0.122758138,0.077358121,0.10945694
,14.11.2002,0.241324798,0.123869279,0.077171832,0.109058415
,15.11.2002,0.236656486,0.124211896,0.077161948,0.10876058
