@T,A1,,,,
descr,observed soil water content at probe A1 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,18.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1572,,,
x,,513667,,,
y,,4495426,,,
,18.10.2002,0.076277943,0.147404157,0.100425937,0.108971996
,19.10.2002,0.072728686,0.146794071,0.099936273,0.108599248
,20.10.2002,0.069883206,0.146229168,0.099592112,0.108162101
,21.10.2002,0.068025017,0.145875474,0.099315754,0.107710687
,22.10.2002,0.07085384,0.144495199,0.099024569,0.107393863
,23.10.2002,0.08062855,0.141233345,0.098348521,0.107060464
,24.10.2002,0.089029815,0.138614246,0.097328058,0.106604272
,25.10.2002,0.090938658,0.137751218,0.096390928,0.106020509
,26.10.2002,0.087542075,0.138268953,0.095858618,0.105421617
,27.10.2002,0.106928162,0.139402503,0.0956522,0.104965777
,28.10.2002,0.103205059,0.138907267,0.095586598,0.104633125
,29.10.2002,0.139930099,0.138331612,0.095391791,0.104407953
,30.10.2002,0.233889022,0.135832167,0.094965633,0.10412322
,31.10.2002,0.254084649,0.133611941,0.094224368,0.103495372
,01.11.2002,0.256911779,0.13165934,0.09347722,0.102858605
,02.11.2002,0.260364148,0.12997452,0.09277964,0.102227861
,03.11.2002,0.252220231,0.128582916,0.092165863,0.101658474
,04.11.2002,0.24613638,0.127568533,0.091598354,0.101133293
,05.11.2002,0.242092635,0.126632087,0.091056614,0.100624415
,06.11.2002,0.245660748,0.126297998,0.090565759,0.100120744
,07.11.2002,0.25389739,0.126486082,0.090223093,0.099642237
,08.11.2002,0.25455406,0.127404075,0.089960743,0.099245153
,09.11.2002,0.237931134,0.129774183,0.089926387,0.098937952
,10.11.2002,0.224374393,0.13128613,0.089978808,0.098718364
,11.11.2002,0.215874266,0.13280618,0.089881217,0.098547979
,12.11.2002,0.205236327,0.133577478,0.089594263,0.098341589
,13.11.2002,0.211157649,0.135563434,0.089210616,0.098077627
,14.11.2002,0.210382451,0.138883591,0.089117085,0.097828507
,15.11.2002,0.203102759,0.141056123,0.089181816,0.097651827
,16.11.2002,0.196616034,0.14186803,0.089088352,0.097507748
,17.11.2002,0.196765598,0.143580227,0.088851288,0.097338613
,18.11.2002,0.191078118,0.146386003,0.088829751,0.097173242
,19.11.2002,0.188369494,0.148367522,0.088930253,0.097076254
,20.11.2002,0.194924913,0.150484213,0.08907755,0.096957809
,21.11.2002,0.207251983,0.153161795,0.089291583,0.096900385
,22.11.2002,0.209362418,0.155148861,0.089567177,0.096970355
,23.11.2002,0.211139603,0.157031229,0.089792721,0.097047531
,24.11.2002,0.210138295,0.1581515,0.090020402,0.097142699
,25.11.2002,0.208101269,0.15787759,0.089957128,0.097182217
,26.11.2002,0.206004148,0.157169975,0.089615905,0.097106784
,27.11.2002,0.203749467,0.156042763,0.089090226,0.096905784
,28.11.2002,0.20293419,0.155129898,0.088458941,0.09659222
,29.11.2002,0.203760195,0.155068769,0.087908691,0.096207798
,30.11.2002,0.204539392,0.155877419,0.087616519,0.095867036
,01.12.2002,0.204211427,0.156237209,0.087463559,0.095599928
,02.12.2002,0.205679527,0.157046944,0.087328519,0.095386564
,03.12.2002,0.205941884,0.158264474,0.087371152,0.095240929
,04.12.2002,0.20417905,0.158240185,0.087399577,0.095159293
,05.12.2002,0.203370944,0.157885612,0.087229106,0.095054643
,06.12.2002,0.20265889,0.157764848,0.086998567,0.094895145
,07.12.2002,0.201512642,0.157365372,0.086764854,0.09472165
,08.12.2002,0.200742722,0.156969165,0.086485596,0.094523598
,09.12.2002,0.199828889,0.156648373,0.086194542,0.09432403
,10.12.2002,0.199195222,0.156282573,0.085911103,0.094101801
,11.12.2002,0.199566317,0.156213203,0.085638747,0.093899241
,12.12.2002,0.200107456,0.156779323,0.085491349,0.093688156
,13.12.2002,0.199367404,0.156891583,0.085433488,0.093526508
,14.12.2002,0.199558301,0.156977176,0.085331858,0.093393104
,15.12.2002,0.19988712,0.157392156,0.085281066,0.093259811
,16.12.2002,0.199940213,0.157799727,0.085279315,0.093165171
,17.12.2002,0.199842,0.158001045,0.085281066,0.093095111
,18.12.2002,0.199943004,0.15843378,0.085291574,0.093032075
,19.12.2002,0.19828583,0.158234851,0.085293325,0.09299182
,20.12.2002,0.196145555,0.157325375,0.085125326,0.092935829
,21.12.2002,0.195075984,0.156336003,0.084809096,0.092818667
,22.12.2002,0.194250637,0.155760194,0.084465683,0.092652682
,23.12.2002,0.193536466,0.155225508,0.08417001,0.092436298
,24.12.2002,0.192356899,0.154691983,0.083881888,0.092232398
,25.12.2002,0.191039337,0.153926769,0.083566687,0.092032251
,26.12.2002,0.189619293,0.153034657,0.083184892,0.091811521
,27.12.2002,0.184870881,0.15213246,0.08276801,0.091549492
,28.12.2002,0.180824896,0.151633988,0.08236606,0.091263672
,29.12.2002,0.184179643,0.151647094,0.082102154,0.090990467
,30.12.2002,0.189238959,0.15195654,0.082001185,0.090790204
,31.12.2002,0.189806707,0.152502894,0.082023425,0.09064018
,01.01.2003,0.190915718,0.153063615,0.082108993,0.090550572
,02.01.2003,0.191199528,0.153868515,0.082239172,0.090519565
,03.01.2003,0.19176407,0.154170055,0.082360882,0.090519565
,04.01.2003,0.194161957,0.155390657,0.082515347,0.090540235
,05.01.2003,0.19482248,0.15663242,0.082838533,0.090617773
,06.01.2003,0.195403198,0.157512818,0.083172795,0.090753978
,07.01.2003,0.194835946,0.157990305,0.083452535,0.090919653
,08.01.2003,-9999,-9999,-9999,-9999
,09.01.2003,-9999,-9999,-9999,-9999
,10.01.2003,-9999,-9999,-9999,-9999
,11.01.2003,-9999,-9999,-9999,-9999
,12.01.2003,-9999,-9999,-9999,-9999
,13.01.2003,-9999,-9999,-9999,-9999
,14.01.2003,-9999,-9999,-9999,-9999
,15.01.2003,-9999,-9999,-9999,-9999
,16.01.2003,-9999,-9999,-9999,-9999
,17.01.2003,-9999,-9999,-9999,-9999
,18.01.2003,-9999,-9999,-9999,-9999
,19.01.2003,-9999,-9999,-9999,-9999
,20.01.2003,-9999,-9999,-9999,-9999
,21.01.2003,-9999,-9999,-9999,-9999
,22.01.2003,-9999,-9999,-9999,-9999
,23.01.2003,-9999,-9999,-9999,-9999
,24.01.2003,-9999,-9999,-9999,-9999
,25.01.2003,-9999,-9999,-9999,-9999
,26.01.2003,-9999,-9999,-9999,-9999
,27.01.2003,-9999,-9999,-9999,-9999
,28.01.2003,-9999,-9999,-9999,-9999
,29.01.2003,-9999,-9999,-9999,-9999
,30.01.2003,-9999,-9999,-9999,-9999
,31.01.2003,-9999,-9999,-9999,-9999
,01.02.2003,-9999,-9999,-9999,-9999
,02.02.2003,-9999,-9999,-9999,-9999
,03.02.2003,-9999,-9999,-9999,-9999
,04.02.2003,-9999,-9999,-9999,-9999
,05.02.2003,-9999,-9999,-9999,-9999
,06.02.2003,-9999,-9999,-9999,-9999
,07.02.2003,-9999,-9999,-9999,-9999
,08.02.2003,-9999,-9999,-9999,-9999
,09.02.2003,-9999,-9999,-9999,-9999
,10.02.2003,-9999,-9999,-9999,-9999
,11.02.2003,-9999,-9999,-9999,-9999
,12.02.2003,-9999,-9999,-9999,-9999
,13.02.2003,-9999,-9999,-9999,-9999
,14.02.2003,-9999,-9999,-9999,-9999
,15.02.2003,-9999,-9999,-9999,-9999
,16.02.2003,-9999,-9999,-9999,-9999
,17.02.2003,-9999,-9999,-9999,-9999
,18.02.2003,-9999,-9999,-9999,-9999
,19.02.2003,-9999,-9999,-9999,-9999
,20.02.2003,-9999,-9999,-9999,-9999
,21.02.2003,0.188026382,0.156725828,0.083392033,0.090949008
,22.02.2003,0.188246443,0.157003935,0.083474998,0.091050935
,23.02.2003,0.186863195,0.156902371,0.083587415,0.091149474
,24.02.2003,0.183696648,0.155513143,0.083516507,0.091227314
,25.02.2003,0.181255695,0.153691953,0.083164209,0.091194446
,26.02.2003,0.179873977,0.152269085,0.0826597,0.091026754
,27.02.2003,0.180128159,0.151691646,0.082249475,0.090774688
,28.02.2003,0.181097371,0.151746696,0.082064493,0.090566082
,01.03.2003,0.181467863,0.151911909,0.082013156,0.090430043
,02.03.2003,0.18179663,0.15195913,0.082002891,0.090347442
,03.03.2003,0.183371659,0.152426678,0.082030268,0.090278652
,04.03.2003,0.184644291,0.15357804,0.08221349,0.090273494
,05.03.2003,0.182738424,0.153395859,0.082429503,0.090349163
,06.03.2003,0.183260429,0.153095144,0.082419204,0.090404224
,07.03.2003,0.185562331,0.153881904,0.08248443,0.090435206
,08.03.2003,0.188109192,0.155374688,0.082769718,0.090509238
,09.03.2003,0.189619646,0.15700414,0.083236704,0.09068673
,10.03.2003,0.190506142,0.158049495,0.083727704,0.090947299
,11.03.2003,0.192949959,0.159404247,0.084206564,0.091249829
,12.03.2003,0.195425634,0.161170294,0.084786509,0.091589389
,13.03.2003,0.197640543,0.163029899,0.085488,0.092002722
,14.03.2003,0.199830246,0.164825178,0.086224649,0.092448552
,15.03.2003,0.20296777,0.166804423,0.087005831,0.092925409
,16.03.2003,0.204013261,0.168819324,0.087882122,0.093479181
,17.03.2003,0.204023552,0.169865944,0.088684655,0.094054306
,18.03.2003,0.200106437,0.169583137,0.089262805,0.094613817
,19.03.2003,0.195030637,0.167268402,0.089332973,0.095077725
,20.03.2003,0.19292358,0.164979643,0.088950076,0.095297744
,21.03.2003,0.195044709,0.164491805,0.088537609,0.0953155
,22.03.2003,0.197147449,0.165569522,0.0885197,0.095319053
,23.03.2003,0.198171616,0.166404659,0.088749058,0.095416772
,24.03.2003,0.199867969,0.167748678,0.0890776,0.095603485
,25.03.2003,0.196395593,0.167276008,0.089422998,0.095863465
,26.03.2003,0.197258688,0.166859229,0.089415788,0.096070313
,27.03.2003,0.197533861,0.167456382,0.089518507,0.096227413
,28.03.2003,0.193144875,0.166222569,0.089619459,0.096409702
,29.03.2003,0.190784735,0.16445374,0.089325798,0.096500916
,30.03.2003,0.189658652,0.162860223,0.088885444,0.096443676
,31.03.2003,0.192581366,0.162868252,0.088535813,0.096295303
,01.04.2003,0.197069078,0.164764965,0.088593149,0.096193468
,02.04.2003,0.200191111,0.167026325,0.089093831,0.096281009
,03.04.2003,0.20175553,0.168947933,0.089763958,0.096545675
,04.04.2003,0.200873843,0.169792963,0.09039528,0.096895047
,05.04.2003,0.198775788,0.169585742,0.090770961,0.097243342
,06.04.2003,0.196477256,0.168640581,0.090885479,0.097532958
,07.04.2003,0.193414981,0.167062376,0.090760055,0.097723916
,08.04.2003,0.192566265,0.165583452,0.09040431,0.097761772
,09.04.2003,0.195289317,0.16568824,0.090128943,0.097686063
,10.04.2003,0.199785047,0.16741804,0.090237601,0.097646414
,11.04.2003,0.201945533,0.16994508,0.090767438,0.097767189
,12.04.2003,0.20310819,0.172392739,0.091552794,0.098043318
,13.04.2003,0.205619789,0.174624458,0.092441348,0.098459278
,14.04.2003,0.207643579,0.176614983,0.09333865,0.098963443
,15.04.2003,0.208683618,0.178203203,0.09421138,0.099525617
,16.04.2003,0.205891778,0.178494757,0.094935751,0.100140878
,17.04.2003,0.20415442,0.177523105,0.095258925,0.100675773
,18.04.2003,0.205304855,0.177488375,0.095361838,0.101024735
,19.04.2003,0.204292883,0.177603563,0.095573475,0.101311808
,20.04.2003,0.202213591,0.1768044,0.095684075,0.101595676
,21.04.2003,0.20255121,0.176241851,0.095616575,0.101795024
,22.04.2003,0.204928963,0.176818589,0.095652203,0.101905879
,23.04.2003,0.20517977,0.177960833,0.095958178,0.102068609
,24.04.2003,0.224533007,0.176034244,0.09617243,0.10238154
,25.04.2003,0.252646588,0.173571613,0.095716052,0.10253728
,26.04.2003,0.261747018,0.172847899,0.095264558,0.102498325
,27.04.2003,0.265333855,0.17403202,0.095206573,0.102411178
,28.04.2003,0.26683366,0.17607893,0.095611053,0.102470513
,29.04.2003,0.267547038,0.177860259,0.096227094,0.102732198
,30.04.2003,0.266078258,0.179382516,0.096894607,0.10312265
,01.05.2003,0.2633832,0.179481049,0.097344835,0.103573679
,02.05.2003,0.262822031,0.179414364,0.097443367,0.103932326
,03.05.2003,0.265429386,0.181338991,0.097547702,0.104164365
,04.05.2003,0.269746313,0.184887602,0.098068446,0.104432352
,05.05.2003,0.269841662,0.187147793,0.0987167,0.10485861
,06.05.2003,0.268428354,0.188657455,0.099068568,0.105323554
,07.05.2003,0.268083898,0.190459658,0.099233305,0.105689585
,08.05.2003,0.268064638,0.19282803,0.099417405,0.106009083
,09.05.2003,0.26556557,0.194686566,0.099618978,0.106313983
,10.05.2003,0.279934519,0.195003114,0.099574814,0.106566248
,11.05.2003,0.309933722,0.193678603,0.098904229,0.106647881
,12.05.2003,0.30912249,0.207167988,0.098028425,0.106463787
,13.05.2003,0.309410946,0.239515414,0.097803991,0.106190816
,14.05.2003,0.309291414,0.262176035,0.098197865,0.106168083
,15.05.2003,0.309672158,0.273242092,0.098953955,0.106406902
,16.05.2003,0.309039896,0.278456566,0.09992877,0.10691592
,17.05.2003,0.309876012,0.282141009,0.100944239,0.107590469
,18.05.2003,0.309080008,0.284819049,0.10210995,0.10826369
,19.05.2003,0.304950705,0.285869215,0.103181453,0.109051001
,20.05.2003,0.299166635,0.284205388,0.103684156,0.109772094
,21.05.2003,0.298284971,0.282690788,0.103556336,0.110267276
,22.05.2003,0.300891713,0.283348401,0.103566184,0.11054254
,23.05.2003,0.302550201,0.285112833,0.104147242,0.110862948
,24.05.2003,0.303130322,0.286933537,0.105076929,0.111345575
,25.05.2003,0.30198191,0.287873227,0.106069173,0.112046395
,26.05.2003,0.30107316,0.288326525,0.106884584,0.11277729
,27.05.2003,0.300465459,0.288514892,0.107566972,0.113457805
,28.05.2003,0.3024245,0.289496427,0.108282341,0.114109139
,29.05.2003,0.303549656,0.291047698,0.109298791,0.114826198
,30.05.2003,0.303978064,0.292537945,0.110576202,0.115637618
,31.05.2003,0.301223012,0.293100357,0.1119014,0.116452382
,01.06.2003,0.298825483,0.292297668,0.112869293,0.11722231
,02.06.2003,0.296713028,0.291186913,0.113584536,0.117823897
,03.06.2003,0.295263768,0.290391104,0.114235851,0.118265694
,04.06.2003,0.292555983,0.289284692,0.114983506,0.1185891
,05.06.2003,0.2884694,0.287010726,0.115605859,0.11876314
,06.06.2003,0.287499778,0.284826762,0.115937804,0.118712533
,07.06.2003,0.28743172,0.283455013,0.116373598,0.118469781
,08.06.2003,0.290959074,0.282937666,0.116983679,0.118140511
,09.06.2003,0.296031393,0.284758171,0.118048141,0.11783393
,10.06.2003,0.297594484,0.286902932,0.119766845,0.117739222
,11.06.2003,0.300035313,0.289107719,0.121803314,0.117833928
,12.06.2003,0.300508878,0.29103608,0.124206099,0.118134453
,13.06.2003,0.300748302,0.292394484,0.126776454,0.118554737
,14.06.2003,0.30083332,0.293259488,0.12941857,0.119026575
,15.06.2003,0.3016,0.294180515,0.132182073,0.119513756
,16.06.2003,0.302641084,0.295446318,0.135213243,0.119975643
,17.06.2003,0.302192653,0.296469023,0.138549366,0.120503942
,18.06.2003,0.300372577,0.296680109,0.141900456,0.121070491
,19.06.2003,0.299186596,0.296109683,0.144996267,0.121593395
,20.06.2003,0.299108967,0.295969078,0.147932905,0.12198802
,21.06.2003,0.299214936,0.296019835,0.150835778,0.122325695
,22.06.2003,0.299808874,0.296605809,0.153737641,0.12265569
,23.06.2003,0.299544321,0.297075079,0.156639674,0.123037904
,24.06.2003,0.302906528,0.296449783,0.159273751,0.123362808
,25.06.2003,0.302012342,0.294562206,0.161311167,0.123742174
,26.06.2003,0.301914835,0.293197425,0.162661058,0.123968446
,27.06.2003,0.303590818,0.293170175,0.164002389,0.124024538
,28.06.2003,0.305562004,0.294075508,0.165631064,0.124093116
,29.06.2003,0.306173332,0.295192862,0.167502269,0.124334373
,30.06.2003,0.305815344,0.295395546,0.169243401,0.12469677
,01.07.2003,0.307736932,0.296203419,0.170794111,0.125074392
,02.07.2003,0.309610749,0.297517489,0.172481178,0.125498745
,03.07.2003,0.310910773,0.298964555,0.174285315,0.126033023
,04.07.2003,0.311726138,0.300270076,0.176111389,0.126675935
,05.07.2003,0.312428673,0.30142902,0.177842955,0.127377768
,06.07.2003,0.312158386,0.302345409,0.179489091,-9999
,07.07.2003,0.310961836,0.302606406,0.1809029,0.128858498
,08.07.2003,0.309317758,0.302191293,0.181968248,0.129516283
,09.07.2003,0.310147776,0.302262373,0.182772562,0.130062773
,10.07.2003,0.310048225,0.302645966,0.183650912,0.130544229
,11.07.2003,0.309827266,0.302986309,0.184540064,0.131046079
,12.07.2003,0.309510148,0.3030932,0.185334407,0.131557685
,13.07.2003,0.30921757,0.303271409,0.186019283,0.132048894
,14.07.2003,0.309193574,0.303421941,0.186621888,0.132532555
,15.07.2003,0.308629223,0.30372712,0.187248084,0.132993446
,16.07.2003,0.306652778,0.303227921,0.187754905,0.133479171
,17.07.2003,0.306396064,0.302824043,0.187976394,0.133898509
,18.07.2003,0.306577068,0.30290318,0.188268217,0.134268528
,19.07.2003,0.305383654,0.302859665,0.188675537,0.134650068
,20.07.2003,0.304103887,0.302555013,0.188979245,0.13505412
,21.07.2003,0.301165163,0.30143319,0.189103058,0.135406333
,22.07.2003,0.300880421,0.300565467,0.188920167,0.135658235
,23.07.2003,0.300190096,0.300179505,0.1888161,0.135842419
,24.07.2003,0.299244136,0.29973878,0.188706453,0.136042125
,25.07.2003,0.29891634,0.299502787,0.188608075,0.13626618
,26.07.2003,0.297666836,0.299286641,0.188599646,0.13649045
,27.07.2003,0.296718753,0.299043039,0.188543449,0.136752378
,28.07.2003,0.294881848,0.298619041,0.188529398,0.137060913
,29.07.2003,0.291803839,0.297603764,0.188391773,0.137363241
,30.07.2003,0.288473442,0.29598109,0.187917575,0.137606259
,31.07.2003,0.285894782,0.294569818,0.18724249,0.137721227
,01.08.2003,0.282953451,0.292902729,0.186560529,0.137774313
,02.08.2003,0.281048269,0.291500193,0.18575191,-9999
,03.08.2003,0.280375039,0.290900752,0.185050847,0.137677003
,04.08.2003,0.278576599,0.290421919,0.184639879,0.137683635
,05.08.2003,0.277023577,0.28983168,0.184182367,0.137754404
,06.08.2003,0.275996572,0.289573419,0.183789151,0.137862826
,07.08.2003,0.274884456,0.289392343,0.183545712,0.138086463
,08.08.2003,0.272190501,0.288565056,0.183426833,0.138398983
,09.08.2003,0.271078631,0.287677521,0.183233418,0.138587593
,10.08.2003,0.270354026,0.287071434,0.183023563,0.138758597
