@T,routing,,,,,,,,,,
name,topo.csv,,,,,,,,,,
descr,multi-flow routing configuration,,,,,,,,,,
 ,,,,,,,,,,,
@H,from,to,weight,,,,,,,,
,1,4,0.046945,2,0.231485,-1,0.72157,,,,
,2,6,1,,,,,,,,
,4,21,0.682163,24,0.08444,-1,0.233397,,,,
,5,9,1,,,,,,,,
,6,23,0.406775,-1,0.593225,,,,,,
,8,4,0.566704,-1,0.433296,,,,,,
,9,17,0.737143,13,0.060571,28,0.202286,,,,
,10,2,1,,,,,,,,
,12,20,0.209459,2,0.060811,10,0.72973,,,,
,13,18,0.564,17,0.436,,,,,,
,15,2,0.134783,12,0.834783,20,0.030435,,,,
,17,18,0.109294,33,0.361338,43,0.015613,39,0.034201,-3,0.479554
,18,22,0.664468,33,0.335533,,,,,,
,20,2,1,,,,,,,,
,21,26,0.149398,-1,0.850602,,,,,,
,22,37,0.579342,-3,0.420658,,,,,,
,23,27,0.064307,-1,0.935693,,,,,,
,24,26,1,,,,,,,,
,25,34,0.075188,23,0.022556,6,0.902256,,,,
,26,-1,1,,,,,,,,
,27,-1,1,,,,,,,,
,28,39,0.030568,-3,0.969432,,,,,,
,29,31,1,,,,,,,,
,30,-2,1,,,,,,,,
,31,40,1,,,,,,,,
,32,30,0.814516,-2,0.185484,,,,,,
,33,-3,1,,,,,,,,
,34,23,1,,,,,,,,
,35,-2,1,,,,,,,,
,36,44,0.401265,-3,0.598735,,,,,,
,37,-3,1,,,,,,,,
,38,32,0.108193,-2,0.891807,,,,,,
,39,-3,1,,,,,,,,
,40,41,0.895966,55,0.104034,,,,,,
,41,38,1,,,,,,,,
,42,-3,1,,,,,,,,
,43,-3,1,,,,,,,,
,44,42,0.586502,52,0.254745,45,0.158754,,,,
,45,43,0.098277,48,0.755473,-3,0.146251,,,,
,46,36,1,,,,,,,,
,48,51,0.017192,-3,0.982808,,,,,,
,49,46,0.011737,50,0.988263,,,,,,
,50,36,0.893665,54,0.106335,,,,,,
,51,-3,1,,,,,,,,
,52,48,0.03518,53,0.394226,45,0.570594,,,,
,53,48,0.830366,56,0.079581,51,0.090052,,,,
,54,52,0.061665,44,0.484098,59,0.454236,,,,
,55,38,1,,,,,,,,
,56,51,1,,,,,,,,
,57,50,0.017751,49,0.556213,58,0.426035,,,,
,58,60,0.022943,50,0.870253,65,0.016614,63,0.09019,,
,59,52,0.877242,53,0.046404,61,0.076354,,,,
,60,62,0.176853,54,0.823147,,,,,,
,61,53,1,,,,,,,,
,62,59,1,,,,,,,,
,63,62,0.134158,60,0.592949,64,0.272894,,,,
,64,62,1,,,,,,,,
,65,64,0.14726,63,0.85274,,,,,,
,-3,0,1,,,,,,,,
,-2,-3,1,,,,,,,,
,-1,-3,1,,,,,,,,
