@T,D4,,,,
descr,observed soil water content at probe D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1572,,,
x,,513672,,,
y,,4495127,,,
,03.01.2003,0.114131557,0.203342313,0.149045325,0.182665776
,04.01.2003,0.115690009,0.204254045,0.149162925,0.182497089
,05.01.2003,0.116541624,0.205465518,0.14953417,0.182351833
,06.01.2003,0.117241694,0.206563583,0.150008063,0.182268863
,07.01.2003,0.117033051,0.207227441,0.150457811,0.182229975
,08.01.2003,0.117228581,0.207426018,0.150753534,0.18223516
,09.01.2003,0.117520012,0.208008018,0.150999493,0.182242938
,10.01.2003,0.116073412,0.20777462,0.151247946,0.182274048
,11.01.2003,0.113847309,0.206193717,0.15106787,0.182351833
,12.01.2003,0.113059418,0.204570838,0.150528348,0.182338863
,13.01.2003,0.11320187,0.203649724,0.149949068,0.182245531
,14.01.2003,0.11390708,0.203413436,0.149531889,0.1820693
,15.01.2003,0.114425681,0.203720887,0.149334877,0.181882829
,16.01.2003,0.114297315,0.203888943,0.149319034,0.181688701
,17.01.2003,0.114304828,0.203831967,0.149269245,0.181505038
,18.01.2003,0.113771655,0.203718051,0.149212682,0.181373182
,19.01.2003,0.113619017,0.203251299,0.14906568,0.181241387
,20.01.2003,0.11446954,0.203299653,0.148914233,0.181096733
,21.01.2003,0.115467433,0.204108496,0.148968473,0.180952142
,22.01.2003,0.115220896,0.204679136,0.149210425,0.180807622
,23.01.2003,0.113941125,0.204182665,0.149291877,0.180750862
,24.01.2003,0.113833514,0.203461833,0.149092818,0.180691546
,25.01.2003,0.114388082,0.203356538,0.148918753,0.180637389
,26.01.2003,0.114961023,0.203780701,0.148898415,0.180503329
,27.01.2003,0.116081292,0.204293882,0.14902498,0.180397666
,28.01.2003,0.118021348,0.205958502,0.149303239,0.180346137
,29.01.2003,0.117921574,0.207192936,0.149915031,0.180307493
,30.01.2003,0.117775432,0.207477835,0.150346425,0.180366746
,31.01.2003,0.118607257,0.207944607,0.150660238,0.180451772
