@T,A3,,,,
descr,observed soil water content at probe A3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,23.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1569,,,
x,,513633,,,
y,,4495265,,,
,23.10.2002,0.201651095,0.173857944,0.111017675,0.135654596
,24.10.2002,0.202224988,0.172172894,0.110487326,0.135124181
,25.10.2002,0.203772647,0.170697219,0.109775499,0.134424098
,26.10.2002,0.20627013,0.170383454,0.109277501,0.133699258
,27.10.2002,0.208843428,0.170459106,0.109097344,0.133108505
,28.10.2002,0.208987418,0.170532157,0.109188438,0.13268432
,29.10.2002,0.209223363,0.170102572,0.10916979,0.132403476
,30.10.2002,0.206897171,0.168845089,0.109002191,0.132038484
,31.10.2002,0.205398813,0.167148873,0.108491998,0.131607477
,01.11.2002,0.204567643,0.165638127,0.107820789,0.1310113
,02.11.2002,0.204011188,0.164352375,0.107141767,0.130299713
,03.11.2002,0.203578426,0.163227972,0.106502018,0.129625628
,04.11.2002,0.203095566,0.162200025,0.105899118,0.128936072
,05.11.2002,0.202797092,0.161256942,0.105355027,0.128292416
,06.11.2002,0.202725257,0.160426655,0.104863111,0.12760277
,07.11.2002,0.203092933,0.159869308,0.104477393,0.12698697
,08.11.2002,0.203921453,0.159367653,0.104169082,0.126472667
,09.11.2002,0.206172622,0.159650844,0.103987931,0.125957398
,10.11.2002,0.206242602,0.159799042,0.104064385,0.125635457
,11.11.2002,0.206003235,0.159479359,0.104104634,0.125402427
,12.11.2002,0.204969828,0.15874533,0.104012082,0.125115809
,13.11.2002,0.204994276,0.157850409,0.103728678,0.124844631
,14.11.2002,0.207353359,0.157914906,0.103501854,0.124537296
,15.11.2002,0.20810675,0.15833358,0.103602179,0.124275428
,16.11.2002,0.20723979,0.158085483,0.103742718,0.124114624
,17.11.2002,0.207264242,0.157396358,0.103622254,0.123896136
,18.11.2002,0.209347767,0.157543288,0.103495841,0.12366503
,19.11.2002,0.210057453,0.157873568,0.103606194,0.123487586
,20.11.2002,0.21172391,0.15839576,0.103790941,0.12367161
,21.11.2002,0.213100642,0.159027691,0.104048309,0.123968929
,22.11.2002,0.214131145,0.159513094,0.104322172,0.124005339
,23.11.2002,0.215453319,0.160176483,0.104648951,0.124108192
,24.11.2002,0.214023778,0.160293689,0.104990462,0.12426471
,25.11.2002,0.211996178,0.159292527,0.104988448,0.124337639
,26.11.2002,0.210293845,0.158186409,0.104646937,0.124142495
,27.11.2002,0.208658878,0.156899592,0.104142967,0.123838363
,28.11.2002,0.207979391,0.155867302,0.103538056,0.123350928
,29.11.2002,0.208475023,0.155222228,0.102961198,0.122813499
,30.11.2002,0.20953762,0.155352615,0.102623559,0.122360318
,01.12.2002,0.209654947,0.155229889,0.102467969,0.121980257
,02.12.2002,0.211479956,0.155577805,0.102368309,0.121679251
,03.12.2002,0.211960974,0.156197956,0.102471965,0.121520436
,04.12.2002,0.210682855,0.155849266,0.10254973,0.12141041
,05.12.2002,0.210606689,0.155444715,0.102428105,0.121239149
,06.12.2002,0.210367253,0.15527337,0.102286632,0.121038469
,07.12.2002,0.209404568,0.154714086,0.102065708,0.12076416
,08.12.2002,0.208959533,0.154153401,0.101757673,0.12045654
,09.12.2002,0.208517883,0.153748963,0.101475957,0.120218751
,10.12.2002,0.208117295,0.153294389,0.101190751,0.11991829
,11.12.2002,0.208233623,0.152919138,0.10088231,0.119590957
,12.12.2002,0.208563868,0.15277223,0.100645428,0.119322824
,13.12.2002,0.208609913,0.152708938,0.100513308,0.119017389
,14.12.2002,0.208761652,0.152630476,0.100389174,0.118766693
,15.12.2002,0.209065314,0.15261276,0.100304501,0.118535081
,16.12.2002,0.209480527,0.152693751,0.100227746,0.118337068
,17.12.2002,0.209950902,0.15279249,0.100229711,0.118174638
,18.12.2002,0.210740119,0.153157407,0.100286789,0.118045619
