@T,B4,,,,
descr,observed soil water content at probe B4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,05.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1569,,,
x,,513698,,,
y,,4495234,,,
,05.10.2002,0.14297099,0.238650376,0.275331123,0.280264995
,06.10.2002,0.132663839,0.238717842,0.27468745,0.279640566
,07.10.2002,0.126694398,0.238173628,0.274088242,0.279054232
,08.10.2002,0.125117363,0.239160188,0.273740403,0.278482158
,09.10.2002,0.126567894,0.240887505,0.273924315,0.277995255
,10.10.2002,0.125952665,0.241192406,0.274161798,0.277616897
,11.10.2002,0.126429932,0.241413115,0.274258843,0.277333332
,12.10.2002,0.126027121,0.241656725,0.274355912,0.277093797
,13.10.2002,0.123726497,0.240440777,0.274178552,0.276874604
,14.10.2002,0.122995006,0.23898565,0.27346976,0.276655523
,15.10.2002,0.122002625,0.237860996,0.272661967,0.276379287
,16.10.2002,0.121433859,0.236787475,0.27178901,0.276039275
,17.10.2002,-9999,-9999,-9999,-9999
,18.10.2002,0.120473164,0.234786574,0.270031533,0.275255839
,19.10.2002,0.120861863,0.234735472,0.269401915,0.274792455
,20.10.2002,0.120499215,0.234515265,0.268981581,0.274359705
,21.10.2002,0.120334865,0.234154823,0.268564945,0.273930716
,22.10.2002,0.119200882,0.233692904,0.268155297,0.27355902
,23.10.2002,0.116169267,0.231920573,0.267432822,0.273197665
,24.10.2002,0.113726764,0.229320525,0.266043861,0.272793151
,25.10.2002,0.113271315,0.227332088,0.264400304,0.272285515
,26.10.2002,0.114242158,0.226896726,0.263115162,0.2716751
,27.10.2002,0.11557848,0.227137735,0.262410436,0.27102554
,28.10.2002,0.114961217,0.227394575,0.262136676,0.270416786
,29.10.2002,0.114537851,0.227043803,0.261798018,0.269908453
,30.10.2002,0.111556482,0.225601002,0.261193048,0.269450455
,31.10.2002,0.109332105,0.22329134,0.2599499,0.268976355
,01.11.2002,0.108255517,0.221245031,0.2583645,0.268429938
,02.11.2002,0.107672344,0.219906581,0.256890967,0.267755284
,03.11.2002,0.107033226,0.218842455,0.255643873,0.267042039
,04.11.2002,0.106307166,0.217796688,0.254496443,0.266313456
,05.11.2002,0.105700561,0.216769103,0.253374435,0.265563037
,06.11.2002,0.105632405,0.21601168,0.252376355,0.264846706
,07.11.2002,0.10616982,0.215972148,0.251593543,0.264118427
,08.11.2002,0.10658877,0.21591442,0.25110426,0.263433867
,09.11.2002,0.107974058,0.21657731,0.250856637,0.262832067
,10.11.2002,0.107622091,0.216994403,0.25088837,0.26228332
,11.11.2002,0.107076483,0.216778171,0.250751931,0.261855908
,12.11.2002,0.105810548,0.216045221,0.250387264,0.261425648
,13.11.2002,0.105612373,0.215134618,0.249744283,0.261012086
,14.11.2002,0.107087674,0.215371122,0.249238145,0.260576161
,15.11.2002,0.10713055,0.215914427,0.249171758,0.260130914
,16.11.2002,0.106012743,0.215623028,0.249076954,0.25973804
,17.11.2002,0.105836426,0.214901283,0.248678997,0.259400661
,18.11.2002,0.107163982,0.215213444,0.248347632,0.259040845
,19.11.2002,0.107388598,0.215692737,0.248366557,0.25868781
,20.11.2002,0.108401314,0.216477029,0.24844227,0.258383583
,21.11.2002,0.109233874,0.217402896,0.248653726,0.258137771
,22.11.2002,0.109807282,0.218028725,0.248915824,0.257940577
,23.11.2002,0.110594193,0.218808713,0.249301386,0.257795161
,24.11.2002,0.108901003,0.218836297,0.249668279,0.257691786
,25.11.2002,0.106629447,0.217339171,0.249418402,0.257630419
,26.11.2002,0.104881145,0.215623277,0.248622264,0.257520623
,27.11.2002,0.103158639,0.21377355,0.247509522,0.257272082
,28.11.2002,0.102320782,0.212137428,0.246239658,0.256939843
,29.11.2002,0.102630281,0.211233606,0.245092488,0.256482214
,30.11.2002,0.103143803,0.211365538,0.244410684,0.255983239
,01.12.2002,0.10297093,0.211161651,0.244020299,0.255507335
,02.12.2002,0.104310483,0.211554596,0.243708245,0.255054433
,03.12.2002,0.104443277,0.21228154,0.243823672,0.254662945
,04.12.2002,0.103176501,0.21177976,0.243823673,0.254345529
,05.12.2002,0.102799132,0.211101737,0.243418277,0.254063573
,06.12.2002,0.102408513,0.210730289,0.243007041,0.25377221
,07.12.2002,0.101503743,0.209946776,0.242543344,0.253449061
,08.12.2002,0.100998279,0.209191753,0.241962143,0.25313255
,09.12.2002,0.100514323,0.208590113,0.24135694,0.25276518
,10.12.2002,0.100011885,0.207912288,0.240765039,0.252385359
,11.12.2002,0.100027948,0.207386941,0.24015544,0.251999509
,12.12.2002,0.100497979,0.207487778,0.239775273,0.251591726
,13.12.2002,0.100377676,0.207529312,0.239580698,0.251203419
,14.12.2002,0.100521435,0.207458113,0.239376967,0.250859968
,15.12.2002,0.100859648,0.207624261,0.239235035,0.250551739
,16.12.2002,0.10116961,0.207864727,0.239204185,0.250243726
,17.12.2002,0.101310718,0.207938971,0.239188761,0.249989872
,18.12.2002,0.101697425,0.208328303,0.239222695,0.249761531
,19.12.2002,0.100715863,0.208069735,0.23924429,0.249565006
,20.12.2002,0.099463227,0.20716473,0.238954415,0.249384423
,21.12.2002,0.098778362,0.206128916,0.238338356,0.249159576
,22.12.2002,0.09819454,0.205393935,0.237713983,0.248893725
,23.12.2002,0.097843855,0.204737004,0.237112075,0.248571128
,24.12.2002,0.096641107,0.203993353,0.236535596,0.24822668
,25.12.2002,0.095289756,0.202826651,0.235816206,0.247857259
,26.12.2002,0.09408622,0.201585159,0.234951592,0.247456633
,27.12.2002,0.093830662,0.200478824,0.23392443,0.246996554
,28.12.2002,0.094924363,0.200196944,0.233003148,0.246511815
,29.12.2002,0.095774022,0.200531064,0.232538733,0.246005643
,30.12.2002,0.096756581,0.201045999,0.232393156,0.245559719
,31.12.2002,0.097115106,0.201713286,0.232508392,0.2451519
,01.01.2003,0.097561333,0.202078114,0.232650973,0.244829066
,02.01.2003,0.09784738,0.20265969,0.232848251,0.244578499
,03.01.2003,0.098233996,0.20289963,0.233051673,0.244375023
,04.01.2003,0.1000983,0.20398173,0.233358584,0.244234218
,05.01.2003,0.100899503,0.205255404,0.234021799,0.244115353
