@T,B1,,,,
descr,observed soil water content at probe B1 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,03.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1570,,,
x,,513746,,,
y,,4495430,,,
,03.10.2002,0.152739023,0.178225824,0.114448197,0.175321166
,04.10.2002,0.157281793,0.175373111,0.113139373,0.174651253
,05.10.2002,0.160706753,0.174902128,0.11254034,0.174372093
,06.10.2002,0.16057136,0.174915594,0.11220595,0.1740625
,07.10.2002,0.160551016,0.174542928,0.1119768,0.173737908
,08.10.2002,0.162681499,0.174929116,0.111820888,0.173441743
,09.10.2002,0.164255625,0.175882075,0.111830754,0.173171368
,10.10.2002,0.163249232,0.176289082,0.111957048,0.172947107
,11.10.2002,0.163147943,0.176500972,0.112034047,0.172773921
,12.10.2002,0.162369353,0.176756509,0.112120964,0.172644107
,13.10.2002,0.159206105,0.176039634,0.112138748,0.17252707
,14.10.2002,0.157903422,0.17496971,0.111923506,0.17241008
,15.10.2002,0.156451463,0.174173342,0.111655277,0.172277881
,16.10.2002,0.155405179,0.1733387,0.111363815,0.172115271
,17.10.2002,-9999,-9999,-9999,-9999
,18.10.2002,0.153486611,0.171690051,0.110727333,0.171716738
,19.10.2002,0.153813565,0.17154571,0.110474501,0.171493607
,20.10.2002,0.153322366,0.171369449,0.11031594,0.171268098
,21.10.2002,0.153039759,0.171105228,0.11016924,0.171055431
,22.10.2002,0.151852454,0.170801321,0.11002852,0.170865675
,23.10.2002,0.148529729,0.169650146,0.109831319,0.170681107
,24.10.2002,0.145632507,0.167835378,0.109388871,0.170478971
,25.10.2002,0.144646135,0.166309721,0.108825135,0.170229038
,26.10.2002,0.145508694,0.165803794,0.108323088,0.169949068
,27.10.2002,0.146838411,0.165864029,0.108042615,0.169629068
,28.10.2002,0.146374637,0.166120778,0.107922823,0.169322008
,29.10.2002,0.146021409,0.165903286,0.107837868,0.169065537
,30.10.2002,0.142798309,0.165019864,0.107685436,0.168826869
,31.10.2002,0.139978024,0.163336038,0.107307828,0.168583404
,01.11.2002,0.138753871,0.161760142,0.106769715,0.168327605
,02.11.2002,0.138307036,0.160825159,0.106238908,0.168004423
,03.11.2002,0.137776343,0.160142143,0.105828006,0.167666613
,04.11.2002,0.137136337,0.15950694,0.105469482,0.167309228
,05.11.2002,0.136502373,0.158868114,0.105121202,0.16694979
