@T,B3,,,,
descr,observed soil water content at probe B3 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,03.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1568,,,
x,,513705,,,
y,,4495264,,,
,03.10.2002,0.185793213,0.189690503,0.208539178,0.246029206
,04.10.2002,0.192214727,0.187247015,0.207064433,0.245745587
,05.10.2002,0.193820617,0.186703597,0.205865498,0.245421709
,06.10.2002,0.192519254,0.186674839,0.205178711,0.245017215
,07.10.2002,0.191717888,0.186356404,0.204742932,0.244616225
,08.10.2002,0.192742087,0.186769601,0.204490575,0.244231138
,09.10.2002,0.193240313,0.187603516,0.204570975,0.243880528
,10.10.2002,0.191945425,0.188032836,0.204770653,0.243610786
,11.10.2002,0.191451,0.188280903,0.20488996,0.243381507
,12.10.2002,0.190564787,0.188555174,0.205028745,0.243195696
,13.10.2002,0.187856521,0.187765088,0.204973235,0.243047093
,14.10.2002,0.186613417,0.186697913,0.204457352,0.242917119
,15.10.2002,0.185360578,0.185794822,0.203842615,0.242740799
,16.10.2002,0.184451792,0.184951337,0.203190322,0.242512006
,17.10.2002,-9999,-9999,-9999,-9999
,18.10.2002,0.182805744,0.183166264,0.201790453,0.241956015
,19.10.2002,0.183080317,0.183018654,0.201265571,0.241607363
,20.10.2002,0.182610205,0.182811639,0.200917045,0.24127133
,21.10.2002,0.182315563,0.182514048,0.200579841,0.240938655
,22.10.2002,0.181217066,0.182097988,0.200256652,0.240643179
,23.10.2002,0.178301315,0.180707012,0.199717861,0.24035099
,24.10.2002,0.175774733,0.178594131,0.198697353,0.240025219
,25.10.2002,0.174916839,0.176876229,0.197427303,0.239662878
,26.10.2002,0.175593433,0.176378758,0.19639191,0.239211959
,27.10.2002,0.17667689,0.176473148,0.195805203,0.238712538
,28.10.2002,0.17611761,0.176662017,0.195575673,0.238244312
,29.10.2002,0.175616238,0.176353774,0.195311263,0.23780718
,30.10.2002,0.172916668,0.17523786,0.19488546,0.23743158
,31.10.2002,0.170826693,0.173534125,0.193987154,0.237034989
,01.11.2002,0.16959393,0.17201518,0.192858322,0.236617479
,02.11.2002,0.168734904,0.170828084,0.191714636,0.236133466
,03.11.2002,0.167902631,0.169816838,0.190686683,0.235580163
,04.11.2002,0.16706802,0.168914673,0.189762745,0.235027621
,05.11.2002,0.16639193,0.168031518,0.188860011,0.234433459
,06.11.2002,0.166197445,0.167420027,0.188049447,0.233867404
,07.11.2002,0.166452065,0.167204826,0.187417215,0.233281017
,08.11.2002,0.16664707,0.16703012,0.186988558,0.232746782
,09.11.2002,0.167938811,0.16744157,0.186720605,0.232216284
,10.11.2002,0.167748098,0.167761904,0.186720603,0.23175871
,11.11.2002,0.167299418,0.167616478,0.18664185,0.231358766
,12.11.2002,0.166339336,0.167148449,0.186434549,0.231010298
,13.11.2002,0.166130313,0.16654961,0.18598631,0.230650128
,14.11.2002,0.167371795,0.166605935,0.185601451,0.230314275
,15.11.2002,0.16776741,0.167030121,0.18554128,0.229963743
,16.11.2002,0.167015285,0.166930765,0.185512508,0.229634476
,17.11.2002,0.166812935,0.166487901,0.185277208,0.229368263
,18.11.2002,0.167992032,0.166608623,0.185039458,0.2290873
,19.11.2002,0.168376688,0.166944154,0.185036846,0.228806538
,20.11.2002,0.169331793,0.167463144,0.185206665,0.228609539
,21.11.2002,0.170124663,0.16805031,0.185494206,0.22845142
,22.11.2002,0.170939118,0.168587457,0.185753243,0.228263539
,23.11.2002,0.171819017,0.169193342,0.186067504,0.228120452
,24.11.2002,0.170551515,0.169307064,0.186397812,0.228016163
,25.11.2002,0.168459117,0.16829332,0.186285058,0.22792679
,26.11.2002,0.166837241,0.167038428,0.185742831,0.227828492
,27.11.2002,0.165324954,0.1656688,0.18496645,0.22767367
,28.11.2002,0.164574146,0.164470711,0.184025339,0.227414778
,29.11.2002,0.164894544,0.16378457,0.18317788,0.227117418
,30.11.2002,0.165645722,0.163858923,0.182617621,0.226737127
,01.12.2002,0.165523769,0.163720838,0.182332727,0.22639874
,02.12.2002,0.166808279,0.16396523,0.182120511,0.226051779
,03.12.2002,0.167126237,0.164523826,0.182190371,0.22572585
,04.12.2002,0.165938221,0.164204515,0.1822266,0.22548011
,05.12.2002,0.16555468,0.163688998,0.181960181,0.225234543
,06.12.2002,0.165358463,0.163447527,0.181652649,0.225018685
,07.12.2002,0.164567057,0.162899061,0.18131964,0.224773408
,08.12.2002,0.164068533,0.162319951,0.180889071,0.224516478
,09.12.2002,-9999,0.161855442,0.180448802,0.224262683
,10.12.2002,0.163283342,0.161368036,0.179996347,0.223973679
,11.12.2002,0.163281023,0.160962971,0.179549682,0.22367016
,12.12.2002,0.163713708,0.160944557,0.179231765,0.223358066
,13.12.2002,0.163623317,0.160876241,0.179019156,0.223049172
,14.12.2002,0.163801852,0.16082107,0.178837413,0.222769907
,15.12.2002,0.164104296,0.160910395,0.178719711,0.222508471
,16.12.2002,0.164345089,0.161012897,0.178653208,0.222258969
,17.12.2002,0.164509853,0.161044441,0.178635306,0.22203014
,18.12.2002,0.164927748,0.161325905,0.178727385,0.221845429
,19.12.2002,0.164133008,0.161220669,0.178758086,0.22166375
,20.12.2002,0.163262049,0.16070819,0.178584175,0.22148508
,21.12.2002,0.162730295,0.160133734,0.178254535,0.221321123
,22.12.2002,0.162379601,0.159706966,0.177864021,0.221125064
,23.12.2002,0.162093187,0.15933313,0.177502037,0.220908635
,24.12.2002,0.161627606,0.158996356,0.177171032,0.220677738
,25.12.2002,0.160983676,0.15856882,0.176832765,0.220435283
,26.12.2002,0.160209695,0.158058766,0.176426358,0.22020175
,27.12.2002,0.159421506,0.157510742,0.175962189,0.219910052
,28.12.2002,0.159131153,0.157103685,0.175534179,0.219612743
,29.12.2002,0.159367593,0.156922398,0.175233149,0.219333145
,30.12.2002,0.1596886,0.156839562,0.175018333,0.219024677
,31.12.2002,0.159887967,0.15685509,0.174917297,0.218757157
,01.01.2003,0.160143847,0.156914629,0.174816298,0.218513061
,02.01.2003,0.16029185,0.156968998,0.174748138,0.218289451
,03.01.2003,0.160541099,0.157044097,0.17473047,0.218068888
,04.01.2003,0.16111573,0.157196955,0.174725423,0.217854242
,05.01.2003,0.161892398,0.157604145,0.174806199,0.21768611
,06.01.2003,0.16296529,0.158256449,0.175018342,0.217547012
,07.01.2003,0.16313621,0.15885288,0.175392482,0.217422451
,08.01.2003,-9999,-9999,-9999,-9999
,09.01.2003,-9999,-9999,-9999,-9999
,10.01.2003,-9999,-9999,-9999,-9999
,11.01.2003,-9999,-9999,-9999,-9999
,12.01.2003,-9999,-9999,-9999,-9999
,13.01.2003,-9999,-9999,-9999,-9999
,14.01.2003,-9999,-9999,-9999,-9999
,15.01.2003,-9999,-9999,-9999,-9999
,16.01.2003,-9999,-9999,-9999,-9999
,17.01.2003,-9999,-9999,-9999,-9999
,18.01.2003,-9999,-9999,-9999,-9999
,19.01.2003,-9999,-9999,-9999,-9999
,20.01.2003,-9999,-9999,-9999,-9999
,21.01.2003,-9999,-9999,-9999,-9999
,22.01.2003,-9999,-9999,-9999,-9999
,23.01.2003,-9999,-9999,-9999,-9999
,24.01.2003,-9999,-9999,-9999,-9999
,25.01.2003,-9999,-9999,-9999,-9999
,26.01.2003,-9999,-9999,-9999,-9999
,27.01.2003,-9999,-9999,-9999,-9999
,28.01.2003,-9999,-9999,-9999,-9999
,29.01.2003,-9999,-9999,-9999,-9999
,30.01.2003,-9999,-9999,-9999,-9999
,31.01.2003,-9999,-9999,-9999,-9999
,01.02.2003,-9999,-9999,-9999,-9999
,02.02.2003,-9999,-9999,-9999,-9999
,03.02.2003,-9999,-9999,-9999,-9999
,04.02.2003,-9999,-9999,-9999,-9999
,05.02.2003,-9999,-9999,-9999,-9999
,06.02.2003,-9999,-9999,-9999,-9999
,07.02.2003,-9999,-9999,-9999,-9999
,08.02.2003,-9999,-9999,-9999,-9999
,09.02.2003,-9999,-9999,-9999,-9999
,10.02.2003,-9999,-9999,-9999,-9999
,11.02.2003,-9999,-9999,-9999,-9999
,12.02.2003,-9999,-9999,-9999,-9999
,13.02.2003,-9999,-9999,-9999,-9999
,14.02.2003,-9999,-9999,-9999,-9999
,15.02.2003,-9999,-9999,-9999,-9999
,16.02.2003,-9999,-9999,-9999,-9999
,17.02.2003,-9999,-9999,-9999,-9999
,18.02.2003,-9999,-9999,-9999,-9999
,19.02.2003,-9999,-9999,-9999,-9999
,20.02.2003,-9999,-9999,-9999,-9999
,21.02.2003,0.163685475,0.159657243,0.175132038,0.214284971
,22.02.2003,0.164002011,0.159952973,0.175344413,0.214322298
,23.02.2003,0.163414625,0.16004463,0.175511379,0.214351012
,24.02.2003,0.161809742,0.159461262,0.175511384,0.214408447
,25.02.2003,0.160635303,0.158605377,0.175149765,0.214428552
,26.02.2003,0.160110966,0.157892421,0.174677512,0.214382595
,27.02.2003,0.160150886,0.157464007,0.174251351,0.214290714
,28.02.2003,0.1602895,0.157290258,0.173921443,0.214155785
,01.03.2003,0.16034825,0.157228048,0.173727707,0.214015172
,02.03.2003,0.160425836,0.157186583,0.173579345,0.21387175
,03.03.2003,0.160911051,0.157238414,0.17350896,0.213745584
,04.03.2003,0.161750539,0.157746953,0.173536611,0.213616585
,05.03.2003,0.161037831,0.157806644,0.173692492,0.21353062
,06.03.2003,0.161273943,0.15770536,0.173700038,0.213484782
,07.03.2003,0.16291148,0.158261669,0.17376041,0.213418897
,08.03.2003,0.165043673,0.159440473,0.174183357,0.213355895
,09.03.2003,0.166385311,0.160850146,0.174871936,0.21334444
,10.03.2003,0.167117221,0.161800129,0.175660804,0.213413171
,11.03.2003,0.169213645,0.163007804,0.176403583,0.213550678
,12.03.2003,0.171382192,0.164556085,0.177341721,0.213714052
,13.03.2003,0.173394614,0.166230862,0.178459131,0.213923379
