@T,B3,,,,
,14.03.2003,0.175319148,0.167834933,0.179673034,0.21421895
,15.03.2003,0.178163771,0.169551398,0.18095887,0.21458084
,16.03.2003,0.179366643,0.17134871,0.182374427,0.214986259
,17.03.2003,0.179549733,0.172367959,0.183619578,0.215464128
,18.03.2003,0.176046952,0.172277764,0.184478522,0.215974363
,19.03.2003,0.171536492,0.170349773,0.18446027,0.216479531
,20.03.2003,0.169026206,0.168218078,0.183648136,0.21692755
,21.03.2003,0.168128857,0.166525788,0.182604811,0.217190833
,22.03.2003,0.204214047,0.16500387,0.181580452,0.217260297
,23.03.2003,0.244183054,0.16377767,0.180680528,0.217222671
,24.03.2003,0.253018998,0.278009723,0.179652552,0.217043253
,25.03.2003,0.250548792,0.344010555,0.177747272,0.216814763
,26.03.2003,0.250055168,0.349023095,0.176459382,0.216560405
,27.03.2003,0.249291353,0.34961121,0.176408611,0.216306234
,28.03.2003,0.244959842,0.347948998,0.177438555,0.216101283
,29.03.2003,0.241815951,0.345735318,0.17919672,0.215928176
,30.03.2003,0.239793439,0.343616671,0.182898953,0.215841655
,31.03.2003,0.239961078,0.342473545,0.191757159,0.215763809
,01.04.2003,0.241367868,0.342308653,0.207442538,0.21569751
,02.04.2003,0.241980133,0.342271569,0.225324714,0.215714805
,03.04.2003,0.241914081,0.342073834,0.244857983,0.215786876
,04.04.2003,0.240502348,0.341337088,0.26427118,0.215985874
,05.04.2003,0.238297273,0.340046923,0.279218442,0.216231168
,06.04.2003,0.236020748,0.338264367,0.28848022,0.216511288
,07.04.2003,0.237066062,0.33681747,0.293316202,0.216759835
,08.04.2003,0.237309758,0.337291098,0.296010529,0.216950677
,09.04.2003,0.238371465,0.338149539,0.298237398,0.217063499
,10.04.2003,0.240379893,0.33911172,0.300624215,0.21712716
,11.04.2003,0.241989488,0.340137062,0.303106385,0.217187937
,12.04.2003,0.243102227,0.340942203,0.305491507,0.217358744
,13.04.2003,0.243310212,0.341431617,0.307597768,0.217639746
,14.04.2003,0.243478984,0.34164972,0.309453602,0.218005073
,15.04.2003,0.243153319,0.34164973,0.31105267,0.218446276
,16.04.2003,0.241710266,0.340810828,0.312310442,0.218951983
,17.04.2003,0.241758501,0.339661081,0.312995818,0.219440905
,18.04.2003,0.242668624,0.339337079,0.313428245,0.219924644
,19.04.2003,0.241848355,0.338984684,0.313954082,0.220362298
,20.04.2003,0.23990146,0.337994231,0.314322805,0.220791725
,21.04.2003,0.23953714,0.337001208,0.314430257,0.221148478
,22.04.2003,0.24027495,0.336564485,0.314569978,0.221490943
,23.04.2003,0.255315988,0.341898997,0.315039604,0.221760448
,24.04.2003,0.277200744,0.383047359,0.324471875,0.222100548
,25.04.2003,0.273069925,0.376940308,0.342807821,0.2224703
,26.04.2003,0.270475282,0.371023025,0.344678772,0.222617127
,27.04.2003,0.268314606,0.366032023,0.344153117,0.222690566
,28.04.2003,0.265969275,0.361919651,0.343488188,0.22279635
,29.04.2003,0.264246497,0.358597218,0.342880593,0.222958018
,30.04.2003,0.261888873,0.355934095,0.342450742,0.223193289
,01.05.2003,0.259076919,0.353031038,0.341949697,0.223587706
,02.05.2003,0.257852318,0.350233802,0.341208352,0.224035617
,03.05.2003,0.259058137,0.348477383,0.340546782,0.224791255
,04.05.2003,0.2595428,0.347802973,0.340355221,0.226851269
,05.05.2003,0.257886577,0.346888583,0.340441607,0.232243227
,06.05.2003,0.2563324,0.345449187,0.3402989,0.241638718
,07.05.2003,0.255162441,0.343934744,0.3400136,0.253418863
,08.05.2003,0.254245155,0.34261796,0.339754689,0.264342293
,09.05.2003,0.251445809,0.340843908,0.339477172,0.27252737
,10.05.2003,0.273045087,0.352863192,0.33902751,0.278273563
,11.05.2003,0.283318998,0.376158308,0.345662138,0.282475306
,12.05.2003,0.280758208,0.37140307,0.350152973,0.286483975
,13.05.2003,0.277997251,0.366997888,0.350431788,0.292920298
,14.05.2003,0.275150901,0.363054015,0.350427968,0.30074307
,15.05.2003,0.273309368,0.360413048,0.350405041,0.306689508
,16.05.2003,0.271340022,0.35816941,0.350462356,0.310775319
,17.05.2003,0.27003689,0.356322081,0.350599946,0.313588228
,18.05.2003,0.267973422,0.354644684,0.350886682,0.315631078
,19.05.2003,0.264360533,0.352959377,0.351234764,0.317192077
,20.05.2003,0.259718697,0.349750212,0.351093235,0.3184122
,21.05.2003,0.257914978,0.34630441,0.35025992,0.319401973
,22.05.2003,0.257992898,0.344005383,0.349568842,0.320079836
,23.05.2003,0.257359781,0.34266777,0.349809278,0.320513987
,24.05.2003,0.256429051,0.341962798,0.350427974,0.320857195
,25.05.2003,0.25438157,0.340835725,0.350909622,0.321145792
,26.05.2003,0.252593524,0.339386696,0.35107791,0.321478423
,27.05.2003,0.249522662,0.337068466,0.350726222,0.321964984
,28.05.2003,0.246775779,0.334501298,0.349889558,0.322690096
,29.05.2003,0.243128375,0.332318812,0.349252312,0.323053001
,30.05.2003,0.242825014,0.33230551,0.349755885,0.323170358
,31.05.2003,0.242148586,0.332540335,0.350531163,0.323423495
,01.06.2003,0.241169975,0.331929117,0.350794903,0.323779575
,02.06.2003,0.240304783,0.33106402,0.350668752,0.324179976
,03.06.2003,0.240029641,0.330466449,0.350435612,0.324532863
,04.06.2003,0.27674582,0.339928018,0.350156721,0.325420053
,05.06.2003,0.291735323,0.369017603,0.350519851,0.325290868
,06.06.2003,0.287841756,0.369820575,0.352867438,0.325500812
,07.06.2003,0.288631061,0.372909275,0.354943045,0.326075794
,08.06.2003,0.28519313,0.370356365,0.356384423,0.327039129
,09.06.2003,0.28392581,0.367929281,0.356125894,0.328215129
,10.06.2003,0.282652093,0.366099274,0.355620703,0.329560571
,11.06.2003,0.282497077,0.36493789,0.355243043,0.3308237
,12.06.2003,0.281441191,0.364031015,0.355235337,0.331899634
,13.06.2003,0.280521732,0.363108375,0.355320093,0.332843255
,14.06.2003,0.279636745,0.362182875,0.355389446,0.333668832
,15.06.2003,0.279407814,0.361454535,0.355535896,0.334387061
,16.06.2003,0.279702293,0.36116937,0.355794184,0.334978805
,17.06.2003,0.279116634,0.360867392,0.356218493,0.335484896
,18.06.2003,0.277500625,0.3600643,0.356500218,0.33597268
,19.06.2003,0.276152936,0.358766191,0.356465469,0.336381995
,20.06.2003,0.275841042,0.357724554,0.356349675,0.336765292
,21.06.2003,0.275240798,0.356933987,0.356303363,0.337092417
,22.06.2003,0.275299172,0.356393423,0.356295646,0.337359538
,23.06.2003,0.27508173,0.356038949,0.356372833,0.337585355
,24.06.2003,0.273544833,0.355389724,0.356523379,0.337799982
,25.06.2003,0.270459225,0.353816053,0.356380567,0.33802222
,26.06.2003,0.270109591,0.352288011,0.355867454,0.338214383
,27.06.2003,0.271320432,0.351772543,0.355443409,0.338312393
,28.06.2003,0.272605171,0.351944279,0.355308536,0.338338777
,29.06.2003,0.27278905,0.352384346,0.355605274,0.338323706
,30.06.2003,0.271889953,0.352049038,0.35589443,0.338384001
,01.07.2003,0.273166649,0.352166359,0.356075737,0.338482023
,02.07.2003,0.274307767,0.352774401,0.356500236,0.338583846
,03.07.2003,0.275017145,0.353504839,0.357106651,0.338712085
,04.07.2003,0.275347869,0.354080581,0.35778329,0.33888941
,05.07.2003,0.275639925,0.354551686,0.358449078,0.339134715
,06.07.2003,0.2752182,0.35487577,0.359084588,0.339402788
,07.07.2003,0.274009988,0.35466532,0.359581042,0.339727671
,08.07.2003,0.272366573,0.353979731,0.359720729,0.340014938
,09.07.2003,0.27289849,0.353576241,0.359751776,0.340340159
,10.07.2003,0.272344348,0.353488021,0.359930354,0.340574733
,11.07.2003,0.271243646,0.353311638,0.360163357,0.34079049
,12.07.2003,0.269866133,0.352938039,0.36038868,0.341006325
,13.07.2003,0.267677795,0.352531128,0.360571334,0.341226037
,14.07.2003,0.263540805,0.351952704,0.360754013,0.341449611
,15.07.2003,0.259577306,0.351379008,0.360960118,0.341623986
,16.07.2003,0.254666397,0.350316964,0.361092364,0.341840123
,17.07.2003,0.249861606,0.349319217,0.361088476,0.34205257
,18.07.2003,0.245540513,0.348602244,0.361065138,0.342230926
,19.07.2003,0.241591551,0.347782267,0.361146822,0.34232582
,20.07.2003,0.238507477,0.34669753,0.361158496,0.34238655
,21.07.2003,0.233722919,0.345151236,0.36102624,0.342375161
,22.07.2003,0.230369439,0.343282198,0.360621874,0.342420717
,23.07.2003,0.227939146,0.342135881,0.360163369,0.342416917
,24.07.2003,0.225192132,0.340322406,0.35971301,0.34235239
,25.07.2003,0.223616809,0.338383133,0.359228038,0.342234725
,26.07.2003,0.222354968,0.336667191,0.358886878,0.342052571
,27.07.2003,0.221835184,0.334801545,0.358576879,0.34187047
,28.07.2003,0.221034574,0.333217642,0.358867485,0.341650523
,29.07.2003,0.219509712,0.331355716,0.358588538,0.341305646
,30.07.2003,0.217787605,0.328711293,0.357694431,0.340798067
,31.07.2003,0.216869059,0.326074375,0.356716498,0.340483923
,01.08.2003,0.215291115,0.323713936,0.356052714,0.340117027
,02.08.2003,0.214527088,0.320844722,0.354654373,0.339606788
,03.08.2003,0.215175905,0.31825682,0.352913405,0.338998872
,04.08.2003,0.2149269,0.3159276,0.351350049,0.3382672
,05.08.2003,0.214954894,0.312809493,0.349485373,0.337385935
,06.08.2003,0.215176167,0.310218534,0.347866187,0.336408347
,07.08.2003,0.215276786,0.308812344,0.346706659,0.335398694
,08.08.2003,0.214012873,0.307647991,0.345997171,0.334521865
,09.08.2003,0.213700278,0.305245353,0.344822868,0.333582888
,10.08.2003,0.21334628,0.302803421,0.343647016,0.332514891
,11.08.2003,0.213390839,0.300460489,0.342394473,0.331333516
,12.08.2003,0.213287725,0.298432506,0.341249903,0.330132307
,13.08.2003,0.213025948,0.296201,0.340062628,0.329141334
,14.08.2003,0.212253107,0.29391907,0.33890401,0.328133651
,15.08.2003,0.211414989,0.291580248,0.337661811,0.326924673
,16.08.2003,0.21065643,0.289107705,0.336280719,0.325493601
,17.08.2003,0.210330015,0.287132056,0.33491759,0.324022144
,18.08.2003,0.209312027,0.286008613,0.334032952,0.322726807
,19.08.2003,0.206716145,0.284265535,0.33314998,0.32177477
,20.08.2003,0.206316469,0.281496053,0.331510111,0.320488619
,21.08.2003,0.206685282,0.279584637,0.329852521,0.318765201
,22.08.2003,0.206731787,0.278289907,0.328479471,0.316974559
,23.08.2003,0.206753701,0.277205461,0.327241772,0.315414104
,24.08.2003,0.205882553,0.276305018,0.32617158,0.313951938
,25.08.2003,0.203951177,0.275091957,0.325198653,0.312691605
,26.08.2003,0.202567776,0.27310353,0.323564117,0.311387726
,27.08.2003,0.202556751,0.271445561,0.321665318,0.310061965
,28.08.2003,0.202510693,0.270062631,0.319853003,0.308693248
,29.08.2003,0.201815218,0.269225744,0.318522544,0.30736718
,30.08.2003,0.206715995,0.26822717,0.317970411,0.306410354
,31.08.2003,0.293683528,0.259208011,0.317653363,0.305955728
,01.09.2003,0.293823152,0.261753708,0.315940776,0.305427049
,02.09.2003,0.290824523,0.29678587,0.314491269,0.304728859
,03.09.2003,0.287804243,0.321090789,0.313592764,0.304081128
,04.09.2003,0.284755883,0.329488367,0.312902968,0.303519015
,05.09.2003,0.28292889,0.333209584,0.312256881,0.303098716
,06.09.2003,0.281460867,0.335492825,0.311839657,0.302802244
,07.09.2003,0.285906837,0.336952777,0.311575948,0.302565899
,08.09.2003,0.295911295,0.353198274,0.311280327,0.302382543
,09.09.2003,0.29335817,0.363741147,0.310963527,0.302245074
,10.09.2003,0.29032539,0.364856501,0.311052518,0.302125247
,11.09.2003,0.286421042,0.363676522,0.313451598,0.302023072
,12.09.2003,0.283196479,0.3615783,0.320411893,0.301924446
,13.09.2003,0.280732069,0.359635681,0.328037755,0.301839915
,14.09.2003,0.277765069,0.357674022,0.333184253,0.301688512
,15.09.2003,0.275208522,0.3555122,0.335889273,0.30158995
,16.09.2003,0.273941886,0.353799095,0.337202094,0.301459721
,17.09.2003,0.272966168,0.352497675,0.337893361,0.301421013
,18.09.2003,0.270055574,0.350952551,0.338274845,0.301452686
,19.09.2003,0.267796657,0.348827542,0.338173844,0.301565311
,20.09.2003,0.266741479,0.346967556,0.33778493,0.301741326
,21.09.2003,0.265771555,0.345519535,0.337321558,0.301949102
,22.09.2003,0.264975128,0.344376963,0.33700041,0.3022627
,23.09.2003,0.264198914,0.343257285,0.336720497,0.302583538
,24.09.2003,0.26385086,0.342386999,0.336496654,0.302953992
,25.09.2003,0.262814871,0.341501653,0.336354913,0.303413022
,26.09.2003,0.262410942,0.340617577,0.336198347,0.303900748
,27.09.2003,0.261711848,0.339899029,0.336093981,0.304427881
,28.09.2003,0.260517612,0.338988832,0.336008256,0.304990995
,29.09.2003,0.259138693,0.337834727,0.335833126,0.30557956
,30.09.2003,0.257745493,0.336609488,0.335524,0.306126164
,01.10.2003,0.255539899,0.335020783,0.335092271,0.306701808
,02.10.2003,0.254916264,0.333533623,0.334501015,0.307231828
,03.10.2003,0.254844967,0.33255251,0.333973494,0.307698258
,04.10.2003,0.254297307,0.331925078,0.333661666,0.30812233
,05.10.2003,0.253589229,0.331088241,0.33345388,0.308578878
,06.10.2003,0.253317491,0.330397864,0.333212787,0.309010813
,07.10.2003,0.252934969,0.329829265,0.333083033,0.309396657
,08.10.2003,0.252836113,0.329305525,0.332968127,0.309786352
,09.10.2003,0.252484945,0.328939222,0.33294218,0.310172778
,10.10.2003,0.252001487,0.328524887,0.33297554,0.310555893
,11.10.2003,0.2511135,0.327994393,0.332979247,0.310924959
,12.10.2003,0.248859519,0.326890908,0.33287176,0.311283523
,13.10.2003,0.247876743,0.325705432,0.332530926,0.31163516
,14.10.2003,0.245961946,0.324490748,0.3321681,0.311936747
,15.10.2003,0.244115724,0.323003975,0.331657586,0.312224131
,16.10.2003,0.242918507,0.321529123,0.331029327,0.312432583
,17.10.2003,0.241929277,0.320343423,0.330446033,0.312590772
,18.10.2003,0.242001175,0.319520073,0.329985002,0.312713046
,19.10.2003,0.241806086,0.319156327,0.329708556,0.312792181
,20.10.2003,0.241451828,0.318705963,0.329598017,0.312871326
,21.10.2003,0.240774741,0.318366474,0.329575912,0.312957679
,22.10.2003,0.239796573,0.3177709,0.329590648,0.313051243
,23.10.2003,0.238892467,0.317152361,0.329524341,0.313170031
,24.10.2003,0.23798424,0.316495213,0.329476461,0.313299633
,25.10.2003,0.23570163,0.315509169,0.329373345,0.313411264
,26.10.2003,0.232746499,0.313745931,0.329030991,0.31350492
,27.10.2003,0.23164967,0.311957,0.328365264,0.313576974
,28.10.2003,0.231526678,0.310800188,0.327700325,0.313566166
,29.10.2003,0.230463465,0.309867429,0.32728194,0.313540947
,30.10.2003,0.229648033,0.309102875,0.326882188,0.31344368
,31.10.2003,0.226225037,0.30762021,0.326508417,0.313350043
,01.11.2003,0.223951291,0.305405608,0.32564458,0.31324923
,02.11.2003,0.222854348,0.303557015,0.324592185,0.313105235
,03.11.2003,0.221931699,0.302040166,0.323607393,0.312900113
,04.11.2003,0.221108115,0.30065757,0.322682587,0.312612353
,05.11.2003,0.220082327,0.299476548,0.321879211,0.312306785
,06.11.2003,0.218820905,0.298070664,0.321062553,0.311979845
,07.11.2003,0.218348826,0.296888102,0.320254343,0.311653105
,08.11.2003,0.217750472,0.295935049,0.319548612,0.311290695
,09.11.2003,0.217352918,0.295085632,0.318923279,0.310957217
,10.11.2003,0.216955875,0.29431302,0.318414149,0.310609618
,11.11.2003,0.216562119,0.293586718,0.31794157,0.310269422
,12.11.2003,0.216087194,0.292891513,0.31750903,0.309997413
,13.11.2003,0.214907233,0.292099914,0.317123663,0.309596825
,14.11.2003,0.214241661,0.291174755,0.316684613,0.309307301
,15.11.2003,0.213622061,0.290322328,0.3161956,0.309010814
,16.11.2003,0.212755917,0.28954598,0.315746533,0.308643103
,17.11.2003,0.211983218,0.288670359,0.315283497,0.308307746
,18.11.2003,0.21128441,0.287755467,0.314774263,0.308008253
,19.11.2003,0.211201267,0.286849672,0.31436938,0.307691131
,20.11.2003,0.2112484,0.286378827,0.313896806,0.307345716
,21.11.2003,0.210819293,0.286045458,0.313664256,0.307007637
,22.11.2003,0.209667468,0.285575473,0.313417503,0.306726668
,23.11.2003,0.208016822,0.284677575,0.312999388,0.30647785
,24.11.2003,0.206362859,0.283387213,0.31234253,0.306197184
,25.11.2003,0.205522213,0.282191988,0.311511867,0.305870518
,26.11.2003,0.204610682,0.281150106,0.310710978,0.30553697
,27.11.2003,0.203722948,0.279956923,0.309964594,0.30517882
,28.11.2003,0.202691785,0.278949162,0.30922638,0.304792583
,29.11.2003,0.202127253,0.27785616,0.308425463,0.304374781
,30.11.2003,0.203584756,0.277528678,0.307742438,0.303943175
,01.12.2003,0.204572413,0.27771417,0.30742424,0.303522538
,02.12.2003,0.204450218,0.277750576,0.307406566,0.303091659
,03.12.2003,0.204360575,0.277583234,0.307222827,0.30273169
,04.12.2003,0.203693199,0.277412335,0.307028544,0.302424855
,05.12.2003,0.202535188,0.276914576,0.306767288,0.302156969
,06.12.2003,0.201466771,0.27600398,0.306308634,0.301850487
,07.12.2003,0.201960064,0.275402627,0.305744676,0.301575871
,08.12.2003,0.202815877,0.27555106,0.305410105,0.301255672
,09.12.2003,0.202621263,0.275612612,0.305279851,0.300956768
,10.12.2003,0.202256712,0.27550036,0.305128541,0.300703708
,11.12.2003,0.201598769,0.275163791,0.30491748,0.300447273
,12.12.2003,0.20092057,0.274606983,0.304601053,0.300180446
,13.12.2003,0.20021687,0.2739967,0.304182943,0.299927779
,14.12.2003,0.19979316,0.273398021,0.303726583,0.29966472
,15.12.2003,0.199785103,0.272969323,0.303298679,0.299366757
,16.12.2003,0.199185606,0.272598625,0.302941195,0.299096994
,17.12.2003,0.198349346,0.271843763,0.302520961,0.298799357
,18.12.2003,0.198255915,0.271233502,0.302041603,0.298526407
