days since 1900-1-1;spei
1901-01-16;NA
1901-02-15;NA
1901-03-16;NA
1901-04-16;NA
1901-05-16;NA
1901-06-16;NA
1901-07-16;NA
1901-08-16;NA
1901-09-16;NA
1901-10-16;NA
1901-11-16;NA
1901-12-16;NA
1902-01-16;NA
1902-02-15;NA
1902-03-16;NA
1902-04-16;NA
1902-05-16;NA
1902-06-16;NA
1902-07-16;NA
1902-08-16;NA
1902-09-16;NA
1902-10-16;NA
1902-11-16;NA
1902-12-16;-0.22893
1903-01-16;-0.16684
1903-02-15;-0.017106
1903-03-16;-0.091152
1903-04-16;-0.39977
1903-05-16;-0.57137
1903-06-16;-0.58011
1903-07-16;-0.34203
1903-08-16;-0.27026
1903-09-16;-0.27192
1903-10-16;-0.18946
1903-11-16;-0.076415
1903-12-16;-0.33328
1904-01-16;-0.38145
1904-02-15;-0.43166
1904-03-16;-0.73009
1904-04-16;-0.6926
1904-05-16;-0.205
1904-06-16;-0.046272
1904-07-16;0.091791
1904-08-16;0.08185
1904-09-16;-0.33039
1904-10-16;-0.32622
1904-11-16;-0.49747
1904-12-16;-0.66056
1905-01-16;-0.53677
1905-02-15;-0.64895
1905-03-16;-0.61529
1905-04-16;0.096887
1905-05-16;0.62427
1905-06-16;0.5139
1905-07-16;0.81223
1905-08-16;0.73254
1905-09-16;0.65752
1905-10-16;0.93384
1905-11-16;0.86675
1905-12-16;0.87179
1906-01-16;0.81299
1906-02-15;0.80966
1906-03-16;1.2458
1906-04-16;1.4878
1906-05-16;1.1475
1906-06-16;1.0836
1906-07-16;1.0802
1906-08-16;1.1333
1906-09-16;1.3435
1906-10-16;1.5433
1906-11-16;1.8112
1906-12-16;1.7936
1907-01-16;1.7161
1907-02-15;1.5041
1907-03-16;1.2636
1907-04-16;0.7411
1907-05-16;0.573
1907-06-16;0.45278
1907-07-16;0.39689
1907-08-16;0.41109
1907-09-16;0.41173
1907-10-16;-0.032175
1907-11-16;0.044599
1907-12-16;0.15401
1908-01-16;0.20898
1908-02-15;0.22947
1908-03-16;-0.35753
1908-04-16;-0.84077
1908-05-16;-0.4235
1908-06-16;-0.35325
1908-07-16;-0.18673
1908-08-16;0.15438
1908-09-16;-0.24885
1908-10-16;-0.24764
1908-11-16;-0.32669
1908-12-16;-0.15486
1909-01-16;-0.27431
1909-02-15;-0.013083
1909-03-16;0.61434
1909-04-16;0.70836
1909-05-16;0.44158
1909-06-16;0.7568
1909-07-16;0.56258
1909-08-16;0.63922
