days since 1900-1-1;spei
1901-01-16;NA
1901-02-15;NA
1901-03-16;NA
1901-04-16;NA
1901-05-16;NA
1901-06-16;0.78037
1901-07-16;0.39823
1901-08-16;0.092912
1901-09-16;-0.0027674
1901-10-16;-0.70365
1901-11-16;-0.97499
1901-12-16;-1.1269
1902-01-16;-0.71636
1902-02-15;-0.77507
1902-03-16;-0.42255
1902-04-16;-0.4017
1902-05-16;-0.12345
1902-06-16;-0.53602
1902-07-16;-0.4794
1902-08-16;-0.50274
1902-09-16;-0.16495
1902-10-16;-0.017543
1902-11-16;0.13147
1902-12-16;0.43822
1903-01-16;0.49753
1903-02-15;1.3195
1903-03-16;0.48234
1903-04-16;0.46548
1903-05-16;0.0205
1903-06-16;0.10163
1903-07-16;0.11644
1903-08-16;-0.2891
1903-09-16;-0.26681
1903-10-16;-0.28867
1903-11-16;-0.022865
1903-12-16;-0.58389
1904-01-16;-0.8675
1904-02-15;-1.2831
1904-03-16;-1.6924
1904-04-16;-1.719
1904-05-16;-0.45419
1904-06-16;0.0046588
1904-07-16;0.34837
1904-08-16;0.36127
1904-09-16;0.58116
1904-10-16;0.68934
1904-11-16;-0.40422
1904-12-16;-0.95006
1905-01-16;-1.2113
1905-02-15;-0.71619
1905-03-16;-0.42443
1905-04-16;1.32
1905-05-16;2.02
1905-06-16;2.0629
1905-07-16;2.0923
1905-08-16;1.8512
1905-09-16;1.6917
1905-10-16;1.1816
1905-11-16;0.48126
1905-12-16;0.30741
1906-01-16;-0.77426
1906-02-15;-0.9874
1906-03-16;0.12889
1906-04-16;0.10774
1906-05-16;0.27344
1906-06-16;0.43909
1906-07-16;0.77063
1906-08-16;0.85798
1906-09-16;0.59433
1906-10-16;0.65214
1906-11-16;1.1103
1906-12-16;1.0181
1907-01-16;0.98718
1907-02-15;0.73616
1907-03-16;-0.38679
1907-04-16;-0.92029
1907-05-16;-0.80309
1907-06-16;-0.68628
1907-07-16;-0.22372
1907-08-16;-0.053527
1907-09-16;0.24258
1907-10-16;-0.10837
1907-11-16;-0.49972
1907-12-16;-0.33951
1908-01-16;-1.2281
1908-02-15;-1.4429
1908-03-16;-1.8168
1908-04-16;-1.9559
1908-05-16;-0.8225
1908-06-16;-0.54995
1908-07-16;0.1082
1908-08-16;0.74384
1908-09-16;0.8094
1908-10-16;1.6193
1908-11-16;1.2811
1908-12-16;1.3704
1909-01-16;0.75921
1909-02-15;0.26609
1909-03-16;1.7277
1909-04-16;1.3845
