@T,climate ,,,,,
name,tmax ,,,,,
descr,max temperature ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,21.11.2001,,,,,
date_end,31.01.2020,,,,,
date_format,dd.MM.yyyy ,,,,,
,,,,,,
tres,d ,,,,,
unit,C ,,,,,
,,,,,,
@H,date,tmax[0],tmax[1],tmax[2],tmax[3],tmax[4]
name,-,EnergyTower1,EnergyTower2,METOS,Vaisala,COAGMETAult
ID,-,1,2,3,4,5
elevation,-,1584.435,1584.867,1571,1571,1497
x,-,513609.867,513537.822,512615,512615,523701
y,-,4494845.169,4494881.429,4495505,4495505,4490951
,21.11.2001,-9999,-9999,13.82,-9999,12.26
,22.11.2001,-9999,-9999,12.76,-9999,12.05
,23.11.2001,-9999,-9999,6.45,-9999,6.485
,24.11.2001,-9999,-9999,9.04,-9999,9.19
,25.11.2001,-9999,-9999,-0.69,-9999,0.131
,26.11.2001,-9999,-9999,-0.93,-9999,-1.869
,27.11.2001,-9999,-9999,-3.89,-9999,-4.898
,28.11.2001,-9999,-9999,-5.09,-9999,-3.211
,29.11.2001,-9999,-9999,2.83,-9999,0.415
,30.11.2001,-9999,-9999,5.73,-9999,5.717
,01.12.2001,-9999,-9999,4.84,-9999,6.329
,02.12.2001,-9999,-9999,12.27,-9999,12.25
,03.12.2001,-9999,-9999,16.73,-9999,16.12
,04.12.2001,-9999,-9999,6.78,-9999,6.84
,05.12.2001,-9999,-9999,7.26,-9999,7.57
,06.12.2001,-9999,-9999,13.33,-9999,13.73
,07.12.2001,-9999,-9999,5.73,-9999,6.13
,08.12.2001,-9999,-9999,6.05,-9999,6.782
,09.12.2001,-9999,-9999,11.79,-9999,11.03
,10.12.2001,-9999,-9999,4.28,-9999,4.029
,11.12.2001,-9999,-9999,7.59,-9999,8.65
,12.12.2001,-9999,-9999,-2.13,-9999,-0.392
,13.12.2001,-9999,-9999,1.14,-9999,2.006
,14.12.2001,-9999,-9999,7.26,-9999,6.64
,15.12.2001,-9999,-9999,8.47,-9999,7.14
,16.12.2001,-9999,-9999,2.59,-9999,2.682
,17.12.2001,-9999,-9999,13.82,-9999,12.84
,18.12.2001,-9999,-9999,7.26,-9999,5.334
,19.12.2001,-9999,-9999,8.8,-9999,9.66
,20.12.2001,-9999,-9999,5.57,-9999,5.382
,21.12.2001,-9999,-9999,10.58,-9999,11.85
,22.12.2001,-9999,-9999,3.31,-9999,4.876
,23.12.2001,-9999,-9999,7.5,-9999,5.621
,24.12.2001,-9999,-9999,5.24,-9999,4.686
,25.12.2001,-9999,-9999,8.47,-9999,6.9
,26.12.2001,-9999,-9999,9.04,-9999,11.22
,27.12.2001,-9999,-9999,7.59,-9999,8.27
,28.12.2001,-9999,-9999,9.92,-9999,9.32
,29.12.2001,-9999,-9999,-0.61,-9999,0.726
,30.12.2001,-9999,-9999,-5.64,-9999,-3.66
,31.12.2001,-9999,-9999,-0.05,-9999,-9999
,01.01.2002,-9999,-9999,-3.1,-9999,-9999
,02.01.2002,-9999,-9999,-3.82,-9999,-2.982
,03.01.2002,-9999,-9999,11.55,-9999,9.54
,04.01.2002,-9999,-9999,5,-9999,4.594
,05.01.2002,-9999,-9999,2.83,-9999,3.457
,06.01.2002,-9999,-9999,5.73,-9999,6.67
,07.01.2002,-9999,-9999,17.21,-9999,17.26
,08.01.2002,-9999,-9999,16.53,-9999,15.51
,09.01.2002,-9999,-9999,12.12,-9999,12.51
,10.01.2002,-9999,-9999,2.59,-9999,1.815
,11.01.2002,-9999,-9999,11.79,-9999,11.05
,12.01.2002,-9999,-9999,9.59,-9999,7.41
,13.01.2002,-9999,-9999,5.73,-9999,6.514
,14.01.2002,-9999,-9999,0.58,-9999,0.925
,15.01.2002,-9999,-9999,-4.78,-9999,-4.378
,16.01.2002,-9999,-9999,-3.58,-9999,-2.21
,17.01.2002,-9999,-9999,-2.13,-9999,-0.779
,18.01.2002,-9999,-9999,0.34,-9999,1.931
,19.01.2002,-9999,-9999,2.11,-9999,2.83
,20.01.2002,-9999,-9999,3.56,-9999,3.865
,21.01.2002,-9999,-9999,9.28,-9999,10.47
,22.01.2002,-9999,-9999,11.79,-9999,12.47
,23.01.2002,-9999,-9999,-1.41,-9999,-3.306
,24.01.2002,-9999,-9999,0.43,-9999,-0.552
,25.01.2002,-9999,-9999,11.46,-9999,10.34
,26.01.2002,-9999,-9999,12.27,-9999,11.99
,27.01.2002,-9999,-9999,14.54,-9999,14.06
,28.01.2002,-9999,-9999,2.11,-9999,2.165
,29.01.2002,-9999,-9999,1.14,-9999,2.62
,30.01.2002,-9999,-9999,-3.26,-9999,-2.553
,31.01.2002,-9999,-9999,-1.17,-9999,-1.111
,01.02.2002,-9999,-9999,2.83,-9999,4.227
,02.02.2002,-9999,-9999,5.09,-9999,5.996
,03.02.2002,-9999,-9999,6.05,-9999,6.61
,04.02.2002,-9999,-9999,8.8,-9999,8.98
,05.02.2002,-9999,-9999,3.8,-9999,4.36
,06.02.2002,-9999,-9999,11.79,-9999,11.59
,07.02.2002,-9999,-9999,10.25,-9999,9.01
,08.02.2002,-9999,-9999,10.25,-9999,11.31
,09.02.2002,-9999,-9999,0.82,-9999,1.155
,10.02.2002,-9999,-9999,7.02,-9999,7.72
,11.02.2002,-9999,-9999,17.6,-9999,16.41
,12.02.2002,-9999,-9999,0.1,-9999,0.82
,13.02.2002,-9999,-9999,9.52,-9999,10.93
,14.02.2002,-9999,-9999,7.98,-9999,7.88
,15.02.2002,-9999,-9999,10.34,-9999,11.44
,16.02.2002,-9999,-9999,11.79,-9999,11.78
,17.02.2002,-9999,-9999,16.48,-9999,17.52
,18.02.2002,-9999,-9999,11.55,-9999,13.33
,19.02.2002,-9999,-9999,9.76,-9999,10.75
,20.02.2002,-9999,-9999,11.21,-9999,11.95
,21.02.2002,-9999,-9999,9.76,-9999,9.44
,22.02.2002,-9999,-9999,19.01,-9999,20.95
,23.02.2002,-9999,-9999,21.43,-9999,22.5
,24.02.2002,-9999,-9999,7.42,-9999,9.36
,25.02.2002,-9999,-9999,-7.08,-9999,-6.92
,26.02.2002,-9999,-9999,-5.81,-9999,-4.618
,27.02.2002,-9999,-9999,1.06,-9999,1.597
,28.02.2002,-9999,-9999,8.23,-9999,8.6
,01.03.2002,-9999,-9999,-7.08,-9999,-6.451
,02.03.2002,-9999,-9999,-11.53,-9999,-10.89
,03.03.2002,-9999,-9999,-3.65,-9999,-3.337
,04.03.2002,-9999,-9999,6.38,-9999,5.756
,05.03.2002,-9999,-9999,10,-9999,9.93
,06.03.2002,-9999,-9999,5.24,-9999,5.122
,07.03.2002,-9999,-9999,13.82,-9999,15.06
,08.03.2002,-9999,-9999,-0.69,-9999,-0.228
,09.03.2002,-9999,-9999,3.56,-9999,3.627
